ubigeo,distrito_nombre,nombre_cultivo,freq_2022_raw,freq_2024_raw
040124,"040124 - Uchumayo (Arequipa, Arequipa)",cebolla,17,9
040124,"040124 - Uchumayo (Arequipa, Arequipa)",papa blanca,13,5
040124,"040124 - Uchumayo (Arequipa, Arequipa)",alfalfa,5,2
040124,"040124 - Uchumayo (Arequipa, Arequipa)",arveja grano verde,5,1
040124,"040124 - Uchumayo (Arequipa, Arequipa)",fresa,3,4
040124,"040124 - Uchumayo (Arequipa, Arequipa)",zanahoria,3,1
040124,"040124 - Uchumayo (Arequipa, Arequipa)",ajo,2,1
040124,"040124 - Uchumayo (Arequipa, Arequipa)",apio,2,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",lechuga,2,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",poro,2,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",cebolla china,1,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",culantro,1,1
040124,"040124 - Uchumayo (Arequipa, Arequipa)",haba grano verde,1,1
040124,"040124 - Uchumayo (Arequipa, Arequipa)",higuera,1,1
040124,"040124 - Uchumayo (Arequipa, Arequipa)",maiz amilaceo,1,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",maiz morado,1,1
040124,"040124 - Uchumayo (Arequipa, Arequipa)",peral,1,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",perejil,1,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",rocoto,1,NA
040124,"040124 - Uchumayo (Arequipa, Arequipa)",tuna fruta,1,4
040124,"040124 - Uchumayo (Arequipa, Arequipa)",brocoli,NA,2
040124,"040124 - Uchumayo (Arequipa, Arequipa)",girasol para semilla,NA,3
040124,"040124 - Uchumayo (Arequipa, Arequipa)",guayabo,NA,2
040124,"040124 - Uchumayo (Arequipa, Arequipa)",rye grass,NA,1
211207,"211207 - San Juan del Oro (Sandia, Puno)",naranjo,24,4
211207,"211207 - San Juan del Oro (Sandia, Puno)",mandarina,21,3
211207,"211207 - San Juan del Oro (Sandia, Puno)",platano,16,3
211207,"211207 - San Juan del Oro (Sandia, Puno)",palto,11,1
211207,"211207 - San Juan del Oro (Sandia, Puno)",cafe pergamino,10,1
211207,"211207 - San Juan del Oro (Sandia, Puno)",coca,8,NA
211207,"211207 - San Juan del Oro (Sandia, Puno)",papaya,3,NA
211207,"211207 - San Juan del Oro (Sandia, Puno)",uncucha,2,NA
211207,"211207 - San Juan del Oro (Sandia, Puno)",maiz amarillo duro,1,NA
211207,"211207 - San Juan del Oro (Sandia, Puno)",oca,1,NA
211207,"211207 - San Juan del Oro (Sandia, Puno)",papa nativa,1,NA
211207,"211207 - San Juan del Oro (Sandia, Puno)",pituca,NA,1
211207,"211207 - San Juan del Oro (Sandia, Puno)",yuca,NA,1
