anio,cohorte,ubigeo,distrito_nombre,ranking,nombre_cultivo,frecuencia_raw
2017,2017-2019 (Estructural),020108,"Olleros (Huaraz, Ancash)",1,papa blanca,13
2017,2017-2019 (Estructural),020108,"Olleros (Huaraz, Ancash)",2,trigo,11
2019,2017-2019 (Estructural),020108,"Olleros (Huaraz, Ancash)",1,papa blanca,13
2019,2017-2019 (Estructural),020108,"Olleros (Huaraz, Ancash)",2,trigo,12
2017,2017-2019 (Estructural),040520,"Majes (Caylloma, Arequipa)",1,maiz chala,125
2017,2017-2019 (Estructural),040520,"Majes (Caylloma, Arequipa)",2,alfalfa,57
2019,2017-2019 (Estructural),040520,"Majes (Caylloma, Arequipa)",1,maiz chala,121
2019,2017-2019 (Estructural),040520,"Majes (Caylloma, Arequipa)",2,alfalfa,37
2022,2022-2024 (Reciente),040124,"Uchumayo (Arequipa, Arequipa)",1,cebolla,17
2022,2022-2024 (Reciente),040124,"Uchumayo (Arequipa, Arequipa)",2,papa blanca,13
2024,2022-2024 (Reciente),040124,"Uchumayo (Arequipa, Arequipa)",1,cebolla,9
2024,2022-2024 (Reciente),040124,"Uchumayo (Arequipa, Arequipa)",2,papa blanca,5
2022,2022-2024 (Reciente),211207,"San Juan del Oro (Sandia, Puno)",1,naranjo,24
2022,2022-2024 (Reciente),211207,"San Juan del Oro (Sandia, Puno)",2,mandarina,21
2024,2022-2024 (Reciente),211207,"San Juan del Oro (Sandia, Puno)",1,naranjo,4
2024,2022-2024 (Reciente),211207,"San Juan del Oro (Sandia, Puno)",2,mandarina,3
