ANIO,UBIGEO,UBIGEO_DISTRITO,TIPO_PROYECTO,TIPO_MERCADO,NOMBRE_TIPO_MERCADO,N MERCADOS,INVERSION,NOMBRE_MERCADO,CUIN,DESCRIPCION PROYECTO
2018,020108,020108 ANCASH_HUARAZ_OLLEROS,Nuevo Mercado,3,Mixto,1,"697,307.72",MERCADO DE ABASTOS DEL CENTRO POBLADO  DE HUARIPAMPA,2184806,"CREACION DEL MERCADO DE ABASTOS DEL CENTRO POBLADO  DE HUARIPAMPA DEL DISTRITO DE OLLEROS, PROVINCIA DE HUARAZ - ANCASH"
2018,040520,040520 AREQUIPA_CAYLLOMA_MAJES,Nuevo Mercado,3,Mixto,6,"9,791,677.79",MERCADO DE ABASTOS,2191819,"CREACION DEL MERCADO DE ABASTOS DEL, DISTRITO DE MAJES - CAYLLOMA - AREQUIPA"
2018,130102,130102 LA LIBERTAD_TRUJILLO_EL PORVENIR,Mejora,2,Minorista,11,"313,120.91",MERCADO VIRGEN DEL CARMEN,2213789,"MEJORAMIENTO DEL MERCADO VIRGEN DEL CARMEN DE LA MZ. 12 DEL AA.HH MIGUEL GRAU SECTOR VICTOR RAUL BARRIO 2, DISTRITO DE EL PORVENIR - TRUJILLO - LA LIBERTAD"
2019,101005,101005 HUANUCO_LAURICOCHA_RONDOS,Nuevo Mercado,2,Minorista,1,"2,001,091.23",MERCADO PARA LA PROMOCION DEL COMERCIO INTERNO EN LA LOCALIDAD DE RONDOS,2205189,"CREACION DE INFRAESTRUCTURA DE MERCADO PARA LA PROMOCION DEL COMERCIO INTERNO EN LA LOCALIDAD DE RONDOS, DISTRITO DE RONDOS - LAURICOCHA - HUANUCO"
2019,130905,130905 LA LIBERTAD_SANCHEZ CARRION_MARCABAL,Nuevo Mercado,2,Minorista,1,"307,816.84",MERCADO ZONAL DE PORTACHUELO,2119430,"CONSTRUCCION DE INFRAESTRUCTURA PARA EL MERCADO ZONAL DE PORTACHUELO, CASERIO CACHUR ALTO, DISTRITO DE MARCABAL - SANCHEZ CARRION - LA LIBERTAD"
2019,061101,061101 CAJAMARCA_SAN MIGUEL_SAN MIGUEL,Mejora,3,Mixto,1,"365,175.04",MERCADO MUNICIPAL DE ABASTOS,2178415,"MEJORAMIENTO DEL MERCADO MUNICIPAL DE LA CIUDAD DE SAN MIGUEL DE PALLAQUES, DISTRITO SAN MIGUEL, PROVINCIA DE SAN MIGUEL - CAJAMARCA"
2019,080910,080910 CUSCO_LA CONVENCION_PICHARI,Mejora,2,Minorista,1,"1,411,953.80",MERCADO DE ABASTOS MUNICIPAL EN LA LOCALIDAD DE  PICHARI,2143932,"MEJORAMIENTO DE LA INFRAESTRUCTURA DEL MERCADO DE ABASTOS MUNICIPAL EN LA LOCALIDAD DE  PICHARI , DISTRITO DE PICHARI - LA CONVENCION - CUSCO"
2019,100604,100604 HUANUCO_LEONCIO PRADO_JOSE CRESPO Y CASTILLO,Mejora,2,Minorista,2,"404,354.55",MUNICIPAL DE LA CIUDAD DE AUCAYACU,2163066,"MEJORAMIENTO DEL MERCADO MUNICIPAL DE LA CIUDAD DE AUCAYACU, DISTRITO DE JOSE CRESPO Y CASTILLO - LEONCIO PRADO - HUANUCO"
2019,130601,130601 LA LIBERTAD_OTUZCO_OTUZCO,Mejora,2,Minorista,1,"1,101,108.03",MERCADO MUNICIPAL DE ABASTOS DE LA LOCALIDAD DE OTUZCO,2294094,"MEJORAMIENTO DE LOS SERVICIOS DEL MERCADO MUNICIPAL DE ABASTOS DE LA LOCALIDAD DE OTUZCO, DISTRITO DE OTUZCO, PROVINCIA DE OTUZCO - LA LIBERTAD"
2019,210110,210110 PUNO_PUNO_PAUCARCOLLA,Mejora,3,Mixto,1,"27,729.21",MERCADO DE HUANCANEPATA,2108971,"AMPLIACION DEL MERCADO DE HUANCANEPATA, DISTRITO DE PAUCARCOLLA - PUNO - PUNO"
2020,060807,060807 CAJAMARCA_JAEN_POMAHUACA,Mejora,2,Minorista,1,"521,801.54",MERCADO DE ABASTOS VIRGEN DEL CARMEN,2291478,"MEJORAMIENTO, AMPLIACION DEL MERCADO DE ABASTOS DE POMAHUACA, DISTRITO DE POMAHUACA - JAEN - CAJAMARCA"
2020,080905,080905 CUSCO_LA CONVENCION_OCOBAMBA,Mejora,2,Minorista,1,"2,753,337.00",MERCADO DE ABASTOS DE LA CAPITAL DE OCOBAMBA,2143943,"MEJORAMIENTO Y AMPLIACION DEL MERCADO DE ABASTOS DE LA CAPITAL DE OCOBAMBA, DISTRITO DE OCOBAMBA - LA CONVENCION - CUSCO"
2020,140102,140102 LAMBAYEQUE_CHICLAYO_CHONGOYAPE,Mejora,2,Minorista,1,"15,955,338.00",MERCADO MODELO DE CHONGOYAPE,2331966,"AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE COMERCIALIZACION DEL MERCADO DE CHONGOYAPE, DISTRITO DE CHONGOYAPE - CHICLAYO - LAMBAYEQUE"
2021,060701,060701 CAJAMARCA_HUALGAYOC_BAMBAMARCA,Mejora,2,Minorista,2,"383,582.42",MERCADO CENTRAL DE BAMBAMARCA,2286767,"MEJORAMIENTO DE LA PARTE EXTERNA DEL MERCADO CENTRAL DE BAMBAMARCA DISTRITO DE BAMBAMARCA, PROVINCIA DE HUALGAYOC - CAJAMARCA"
2021,200107,200107 PIURA_PIURA_CURA MORI,Mejora,2,Minorista,1,"7,352,752.11",MERCADO CURA MORI,2500044,Mejoramiento del servicio de comercialización
2021,081201,081201 CUSCO_QUISPICANCHI_URCOS,Mejora,2,Minorista,2,"8,593,302.98",MERCADO ZONAL DE ABASTOS DE URCOS,2500688,Mejoramiento y ampliación del servicio de comercialización
2021,081201,081201 CUSCO_QUISPICANCHI_URCOS,Mejora,2,Minorista,2,"8,762,823.98",MERCADO ZONAL DE ABASTOS DE URCOS,2500688,Mejoramiento y Ampliación del Servicio de Comercialización del Mercado Zonal de Abastos
2021,030101,030101 APURIMAC_ABANCAY_ABANCAY,Mejora,2,Minorista,5,"363,160.18",SERAPIO TELLO URBIOLA,2185097,"INSTALACION, MEJORAMIENTO DE LA INFRAESTRUCTURA SOPORTE DE COBERTURA Y TECHO DEL MERCADO CENTRAL DE LA CIUDAD DE ABANCAY, PROVINCIA DE ABANCAY - APURIMAC"
2021,090201,090201 HUANCAVELICA_ACOBAMBA_ACOBAMBA,Mejora,3,Mixto,1,"4,911,996.50",MERCADO CHANIN,2498790,Mejoramiento del servicio de comercialización
2022,060201,060201 CAJAMARCA_CAJABAMBA_CAJABAMBA,Nuevo Mercado,1,Mayorista,1,"2,510,652.32",SUPERMERCADO MUNICIPAL PAMPA CHICA,2486713,"Adquisición de contenedores de residuos sólidos, construcción de cámara de frigorífico."
2022,140110,140110 LAMBAYEQUE_CHICLAYO_OYOTUN,Mejora,2,Minorista,1,"500,000.00",MERCADO DE ABASTOS OYOTUN,2175850,"MEJORAMIENTO DEL MERCADO DE ABASTOS DE LA LOCALIDAD DE OYOTUN, DISTRITO DE OYOTUN - CHICLAYO - LAMBAYEQUE"
2022,140110,140110 LAMBAYEQUE_CHICLAYO_OYOTUN,Mejora,2,Minorista,1,"26,575.00",MERCADO DE ABASTOS OYOTUN,2152576,"MEJORAMIENTO DEL MERCADO DE ABASTOS OYOTUN, DISTRITO DE OYOTUN - CHICLAYO - LAMBAYEQUE"
2022,040123,040123 AREQUIPA_AREQUIPA_TIABAYA,Mejora,3,Mixto,1,"358,296.30",MERCADO MUNICIPAL,2186226,"MEJORAMIENTO DEL MERCADO MUNICIPAL, DISTRITO DE TIABAYA - AREQUIPA - AREQUIPA"
2022,140102,140102 LAMBAYEQUE_CHICLAYO_CHONGOYAPE,Mejora,2,Minorista,1,"7,986,010.66",MERCADO MODELO DE CHONGOYAPE,2499326,Mejoramiento del servicio de comercialización
