caso_id,ubigeo,distrito,provincia,departamento,cultivo_foco,tipo_proyecto,anio_proyecto,ena_pre,ena_post
1.1,020108,OLLEROS,HUARAZ,ANCASH,PAPA BLANCA,Nuevo Mercado,"2,018","2,017","2,019"
1.2,040520,MAJES,CAYLLOMA,AREQUIPA,PAPA BLANCA,Nuevo Mercado,"2,018","2,017","2,019"
1.3,040124,UCHUMAYO,AREQUIPA,AREQUIPA,PAPA BLANCA,Nuevo Mercado,"2,023","2,022","2,024"
2.1,120129,SAN AGUSTIN,HUANCAYO,JUNIN,PAPA BLANCA,Mejora,"2,024","2,023","2,025"
2.2,090101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,PAPA BLANCA,Mejora,"2,024","2,023","2,025"
2.3,080101,CUSCO,CUSCO,CUSCO,PAPA BLANCA,Mejora,"2,024","2,023","2,025"
2.4,080708,VELILLE,CHUMBIVILCAS,CUSCO,PAPA BLANCA,Mejora,"2,024","2,023","2,025"
2.5,040501,CHIVAY,CAYLLOMA,AREQUIPA,PAPA BLANCA,Mejora,"2,024","2,023","2,025"
2.6,180104,SAMEGUA,MARISCAL NIETO,MOQUEGUA,PAPA BLANCA,Mejora,"2,024","2,023","2,025"
3.1,130102,EL PORVENIR,TRUJILLO,LA LIBERTAD,ARROZ CASCARA,Mejora,"2,018","2,017","2,019"
3.2,200104,CASTILLA,PIURA,PIURA,ARROZ CASCARA,Mejora,"2,023","2,022","2,024"
3.3,200603,IGNACIO ESCUDERO,SULLANA,PIURA,ARROZ CASCARA,Mejora,"2,024","2,023","2,025"
3.4,140113,REQUE,CHICLAYO,LAMBAYEQUE,ARROZ CASCARA,Mejora,"2,024","2,023","2,025"
