COD_DD,DEPARTAMENTO,IPC_2017,IPC_2019,IPC_2022,IPC_2023,IPC_2024,IPC_2025
01,AMAZONAS,131.72,136.02,116.29,127.37,127,128.36
02,ÁNCASH,130.42,135.56,115.03,133.72,126.91,122.48
03,APURÍMAC,137.59,143.33,116.04,130.98,124.5,121.1
04,AREQUIPA,142.59,148.74,114.21,136.41,132.5,132.89
05,AYACUCHO,139.58,142.67,112.02,132.35,125.09,126.48
06,CAJAMARCA,130.48,132.18,117.04,134.51,136.25,132.88
08,CUSCO,141.65,149.06,114.43,141.56,126.69,129.6
09,HUANCAVELICA,134.71,140.73,117.52,136.45,125.73,117.6
10,HUÁNUCO,132.96,138.64,121.25,130.02,129.12,122.64
11,ICA,143.3,145.42,114.3,136.47,129.54,134.5
12,JUNÍN,134.81,140.35,118.23,130.97,126.61,128.4
13,LA LIBERTAD,142.65,144.13,111.78,139.89,126.64,130.49
14,LAMBAYEQUE,138.95,140.41,127.15,157.4,148.35,149.6
15,LIMA,137.03,138.85,116.57,137,130.44,131.01
16,LORETO,135.41,142.97,112.36,129.15,128.65,128.57
17,MADRE DE DIOS,121.39,125.96,119.17,144.93,132.65,144.05
18,MOQUEGUA,133.31,138.04,125.62,146.53,143.19,142.38
19,PASCO,129.24,133.93,125.12,141.24,133.35,130.47
20,PIURA,138.74,140.77,120.83,148.11,136.04,138.07
21,PUNO,145.41,152.72,119.47,146.09,134.65,134.01
22,SAN MARTÍN,134.28,137.49,110.11,124.76,125.42,125.06
23,TACNA,137.9,143.71,119.75,142.95,138.44,138.33
24,TUMBES,137.67,142.15,125.89,148.25,153.56,153.65
25,UCAYALI,133.76,138.3,117.4,132.44,129.76,127.47
