COD_DD,DEPARTAMENTO,IPC_2017,IPC_2019,IPC_2022,IPC_2023,IPC_2024,IPC_2025
01,AMAZONAS,131.72,136.02,114.49,130.33,131.73,130.19
02,ÁNCASH,130.42,135.56,117.41,132.08,136.73,136.16
03,APURÍMAC,137.59,143.33,112.6,128.62,131.7,131.28
04,AREQUIPA,142.59,148.74,113.88,127.76,130.05,132.39
05,AYACUCHO,139.58,142.67,108.7,120.73,124.61,128.56
06,CAJAMARCA,130.48,132.18,115.92,128.87,128.87,129.9
08,CUSCO,141.65,149.06,113.01,121.18,122.95,123.43
09,HUANCAVELICA,134.71,140.73,113.05,126.71,126.42,124.34
10,HUÁNUCO,132.96,138.64,111.62,124.98,127.33,124.33
11,ICA,143.3,145.42,107.35,117.89,121.93,123.8
12,JUNÍN,134.81,140.35,110.95,121.84,128.7,128.44
13,LA LIBERTAD,142.65,144.13,105.46,116.43,118.76,119.63
14,LAMBAYEQUE,138.95,140.41,106.7,115.83,120.88,121.84
15,LIMA,137.03,138.85,108.47,120.34,124.03,124.93
16,LORETO,135.41,142.97,106.38,114.35,113.45,110.59
17,MADRE DE DIOS,121.39,125.96,110,129.41,134.53,133
18,MOQUEGUA,133.31,138.04,113.13,126.23,129.68,126.62
19,PASCO,129.24,133.93,112.56,124.83,127.88,126.33
20,PIURA,138.74,140.77,109.57,122.81,124.24,125.76
21,PUNO,145.41,152.72,115.1,131.6,133.1,132.75
22,SAN MARTÍN,134.28,137.49,105.32,118.61,123.36,122.12
23,TACNA,137.9,143.71,114.39,127.37,131.6,133.02
24,TUMBES,137.67,142.15,106.47,117.26,123.26,126.71
25,UCAYALI,133.76,138.3,108.98,117.77,118.14,116.42
