COD_DD,DEPARTAMENTO,PCT_PAV_VECINAL_2017,PCT_PAV_VECINAL_2022,PCT_PAV_VECINAL_2023
01,AMAZONAS,0.00,0.00,0.00
02,ÁNCASH,1.50,1.65,2.34
03,APURÍMAC,0.15,0.20,2.23
04,AREQUIPA,6.51,8.73,8.75
05,AYACUCHO,0.22,2.39,2.57
06,CAJAMARCA,0.34,0.61,1.88
08,CUSCO,1.16,2.59,2.83
09,HUANCAVELICA,0.01,0.01,0.46
10,HUÁNUCO,0.07,2.22,2.52
11,ICA,4.01,9.27,9.53
12,JUNÍN,2.40,3.72,3.71
13,LA LIBERTAD,2.80,2.89,5.06
14,LAMBAYEQUE,1.34,1.34,1.76
15,LIMA,4.03,3.71,3.70
16,LORETO,4.35,13.34,13.34
17,MADRE DE DIOS,0.37,0.49,2.53
18,MOQUEGUA,7.87,7.01,9.81
19,PASCO,0.00,0.63,0.64
20,PIURA,2.58,5.08,5.80
21,PUNO,0.49,0.93,1.55
22,SAN MARTÍN,0.00,0.07,3.20
23,TACNA,11.72,15.21,15.39
24,TUMBES,1.80,2.50,10.28
25,UCAYALI,0.26,0.26,0.26
