COD_DD,DEPARTAMENTO,VPB_2017,VPB_2022,VPB_2023
01,AMAZONAS,"1,017.30","1,058.30","1,038.90"
02,ÁNCASH,452.10,695.60,686.40
03,APURÍMAC,380.10,475.70,448.50
04,AREQUIPA,"1,469.50","1,496.60","1,501.40"
05,AYACUCHO,376.50,619.00,626.20
06,CAJAMARCA,956.60,"1,142.80","1,093.60"
08,CUSCO,682.50,827.50,775.30
09,HUANCAVELICA,291.80,360.20,342.90
10,HUÁNUCO,848.10,"1,011.10","1,052.20"
11,ICA,"1,700.30","2,285.60","2,647.80"
12,JUNÍN,"1,374.10","1,547.50","1,555.00"
13,LA LIBERTAD,"2,249.90","3,560.50","3,339.80"
14,LAMBAYEQUE,927.40,"1,633.20","1,366.50"
15,LIMA,"1,462.50","1,703.00","1,856.30"
16,LORETO,534.90,604.70,616.80
17,MADRE DE DIOS,76.70,100.10,114.80
18,MOQUEGUA,94.00,137.00,118.10
19,PASCO,349.80,407.00,417.10
20,PIURA,"1,164.70","1,717.90","1,453.30"
21,PUNO,953.90,"1,336.70",812.30
22,SAN MARTÍN,"1,937.70","2,121.60","2,268.00"
23,TACNA,316.60,570.60,469.00
24,TUMBES,153.10,192.80,159.90
25,UCAYALI,435.20,702.40,668.10
