UBIGEO,PERSONA_NATURAL,COOPERATIVA_AGRARIA,COMUNIDAD_CAMPESINA,COMUNIDAD_NATIVA,OTROS
010101,283,,,,2
010102,113,,1,,1
010103,282,,,,
010104,157,,1,,3
010105,264,,4,,
010106,638,,4,,15
010107,104,,2,,
010108,105,,1,,1
010109,869,,1,,4
010110,614,,2,,2
010111,255,,1,,1
010112,191,,1,,1
010113,286,,3,,5
010114,773,,2,,7
010115,214,,1,,1
010116,103,,3,,
010117,248,,1,,
010118,104,,,,
010119,194,,1,,
010120,458,,3,,5
010121,64,,1,,1
010201,701,,,,
010202,"2,707",,,6,3
010203,"1,293",,1,,1
010204,247,,,,
010205,"5,530",,,85,14
010206,"1,599",,1,,2
010301,319,,1,,
010302,150,,1,,
010303,67,,,,
010304,200,,1,,1
010305,329,,1,,
010306,"1,131",,1,,3
010307,562,,,,4
010308,95,,1,,
010309,123,,1,,
010310,416,,1,,1
010311,263,,1,,
010312,"1,089",,2,,3
010401,"4,274",,3,75,1
010402,"1,186",,,23,
010403,"2,841",,,22,1
010501,217,,1,,3
010502,"1,535",,,,
010503,520,,,,
010504,518,,1,,
010505,411,,1,,6
010506,180,,,,
010507,214,,1,,
010508,261,,1,,2
010509,604,,,,3
010510,104,,1,,1
010511,189,,2,,1
010512,942,,,,
010513,745,,,,
010514,"1,311",,,,
010515,"1,311",,,,
010516,188,,1,,4
010517,247,,,,
010518,264,,2,,
010519,150,,,,
010520,574,,1,,4
010521,716,,1,,
010522,306,,1,,
010523,307,,1,,
010601,863,1,,,5
010602,955,,,,
010603,140,,,,
010604,985,,,,5
010605,706,,,,
010606,369,,,,
010607,298,,,,
010608,175,,,,
010609,"2,642",,,,1
010610,141,,,,
010611,87,,,,
010612,658,,,,
010701,"5,080",1,,,2
010702,"5,205",,,1,5
010703,"2,004",,,,2
010704,"1,080",,,,1
010705,"1,527",,,,
010706,"3,091",2,,,27
010707,837,,,,2
020101,"6,727",,3,,90
020102,409,,1,,
020103,161,,1,,
020104,549,,2,,
020105,"10,705",,13,,118
020106,"2,529",1,2,,4
020107,259,,1,,
020108,"1,275",,3,,2
020109,391,,,,3
020110,964,,4,,4
020111,"1,448",,2,,5
020112,"1,904",,,,
020201,641,,5,,7
020202,509,1,4,,4
020203,128,,1,,
020204,601,,6,,5
020205,163,,1,,
020301,964,,,,
020302,"1,007",,1,,
020303,388,,,,
020304,"1,472",,,,4
020305,"1,383",,,,1
020306,700,,1,,
020401,"1,198",,4,,6
020402,"1,707",,1,,4
020501,711,,3,,2
020502,38,,1,,
020503,383,,2,,
020504,386,,1,,1
020505,312,,1,,
020506,86,,1,,
020507,261,,1,,
020508,438,,7,,
020509,419,,7,,3
020510,380,,2,,
020511,72,,2,,
020512,114,,3,,
020513,205,,2,,1
020514,116,,2,,
020515,138,,2,,
020601,"4,019",,5,,5
020602,"1,102",,1,,1
020603,"1,490",,1,,
020604,"1,054",,1,,1
020605,752,,,,
020606,"2,362",1,5,,8
020607,"1,164",,,,
020608,964,,4,,
020609,"2,948",,1,,1
020610,"1,228",,,,7
020611,"1,098",,1,,2
020701,"3,472",,6,,4
020702,"1,090",,4,,2
020703,"1,955",,5,,13
020801,"1,010",,,,2
020802,821,,,,
020803,315,,,,1
020804,"1,585",,2,,2
020901,549,,,,6
020902,155,,,,
020903,97,,,,
020904,509,,8,,
020905,193,,1,,2
020906,192,,2,,
020907,130,,,,2
021001,"1,909",,7,,9
021002,483,,2,,3
021003,"1,153",,2,,1
021004,"2,256",,5,,1
021005,"1,139",,4,,
021006,368,,3,,
021007,"1,289",,3,,
021008,"1,826",,2,,1
021009,958,,2,,1
021010,501,,2,,
021011,"1,147",,5,,
021012,220,,,,
021013,366,,2,,1
021014,"4,679",,3,,2
021015,835,,2,,2
021016,441,,2,,1
021101,286,,1,,
021102,438,,,,4
021103,873,,2,,1
021104,288,,1,,
021105,227,,,,2
021201,"2,929",,1,,20
021202,226,,,,1
021203,857,,2,,7
021204,932,,1,,16
021205,476,,,,1
021206,"1,716",,11,,3
021207,"2,396",,2,,7
021208,"1,384",,6,,4
021209,911,,,,11
021210,397,,2,,7
021301,"1,093",,,,4
021302,"1,453",,1,,3
021303,342,,1,,
021304,584,,,,4
021305,511,,,,2
021306,"1,730",,4,,1
021307,983,,4,,
021308,630,,,,3
021401,434,,1,,7
021402,131,,1,,2
021403,119,,1,,1
021404,187,,2,,1
021405,319,,1,,2
021406,506,,1,,4
021407,168,,1,,1
021408,366,,2,,3
021409,208,,2,,
021410,182,,1,,1
021501,755,,1,,
021502,370,,,,2
021503,"1,319",,6,,3
021504,199,,1,,5
021505,233,,,,1
021506,185,,1,,
021507,333,,,,
021508,874,,1,,3
021509,"1,033",,1,,
021510,473,,,,
021511,707,,,,
021601,"3,622",,7,,2
021602,"1,360",,3,,5
021603,"1,563",,15,,7
021604,760,,2,,5
021701,"1,525",,4,,4
021702,685,,2,,1
021703,116,,1,,2
021704,248,,1,,
021705,246,,3,,
021706,550,,2,,
021707,268,,2,,
021708,347,,2,,7
021709,234,,1,,
021710,537,,1,,3
021801,"3,945",,1,,5
021802,"1,320",,1,,7
021803,,,,,
021804,"1,225",,,,2
021805,"1,120",,1,,1
021806,605,,,,
021807,296,,1,,
021808,766,,,,1
021809,"1,050",,,,1
021901,841,,2,,6
021902,280,,2,,
021903,175,,1,,
021904,"1,112",,4,,4
021905,233,,3,,3
021906,"1,276",,8,,14
021907,656,,3,,7
021908,969,,8,,17
021909,"1,714",,5,,4
021910,536,,1,,
022001,"5,372",,4,,5
022002,542,,3,,6
022003,"2,740",,4,,5
022004,488,,4,,6
022005,"2,256",,,,1
022006,"1,554",,1,,1
022007,895,,3,,
022008,"1,992",,3,,7
030101,"2,020",,10,,1
030102,249,,,,
030103,696,,9,,1
030104,"3,633",,21,,3
030105,"1,149",,5,,8
030106,"1,272",,15,,1
030107,"1,182",,6,,3
030108,691,,3,,2
030109,536,,,,3
030201,"5,340",,11,,
030202,"1,922",,16,,35
030203,349,,6,,
030204,"1,152",,6,,
030205,"1,145",,5,,
030206,300,,1,,1
030207,"1,681",,11,,3
030208,"1,257",,10,,3
030209,"3,336",,10,,
030210,622,,1,,
030211,132,,1,,
030212,836,,10,,
030213,"3,999",,12,,3
030214,504,,1,,
030215,"3,663",,8,,
030216,"3,639",,11,,2
030217,511,,1,,
030218,"1,112",,7,,
030219,"1,350",,,,2
030220,,,,,
030301,944,,4,,3
030302,155,,1,,
030303,386,,2,,
030304,574,,5,,
030305,739,,5,,1
030306,214,,2,,
030307,355,,2,,3
030401,799,,9,,
030402,180,,1,,2
030403,302,,2,,
030404,706,,6,,6
030405,219,,,,
030406,729,,9,,19
030407,188,,2,,
030408,237,,5,,
030409,552,,5,,
030410,290,,4,,
030411,327,,1,,1
030412,357,,2,,6
030413,242,,,,
030414,649,,1,,
030415,656,,4,,
030416,448,,4,,2
030417,288,,3,,
030501,"2,373",,22,,1
030502,"1,130",,9,,3
030503,"1,833",,20,,3
030504,"2,037",,17,,
030505,"1,520",,17,,
030506,"1,010",,13,,
030601,"1,388",,6,,3
030602,"1,446",,8,,3
030603,607,,4,,1
030604,"2,173",,5,,7
030605,"2,355",,10,,
030606,"1,862",,9,,3
030607,688,,6,,
030608,"1,077",,5,,3
030609,,,,,
030610,,,,,
030611,,,,,
030701,"1,200",,13,,
030702,628,,6,,
030703,"1,138",,14,,7
030704,591,,12,,
030705,246,,2,,1
030706,322,,2,,
030707,259,,2,,
030708,447,,15,,
030709,174,,1,,1
030710,273,,3,,
030711,293,,2,,2
030712,173,,1,,1
030713,210,,1,,
030714,384,,7,,1
040101,93,,,,2
040102,75,,,,3
040103,570,,,,
040104,693,1,,,3
040105,866,,1,,1
040106,913,,2,,2
040107,569,,,,2
040108,"1,117",1,,,6
040109,,,,,
040110,,,,,
040111,427,,,,2
040112,346,,,,5
040113,702,,2,,
040114,813,,1,,2
040115,358,,,,
040116,587,,,,2
040117,785,,,,1
040118,85,,,,
040119,585,,5,,
040120,293,,,,
040121,106,,,,2
040122,712,,1,,4
040123,950,,,,
040124,723,,,,
040125,"1,216",,,,
040126,225,,1,,2
040127,340,,,,
040128,452,,1,,1
040129,160,,,,
040201,75,,,,1
040202,406,,,,
040203,312,,,,
040204,941,,,,
040205,504,,,,
040206,820,,,,
040207,64,,,,1
040208,820,,,,
040301,290,,,,3
040302,560,,,,2
040303,124,,,,
040304,115,,,,
040305,472,,,,2
040306,283,,2,,2
040307,37,,,,
040308,223,,,,
040309,114,,1,,
040310,241,,,,
040311,,,,,
040312,505,,3,,1
040313,400,,,,
040401,930,,,,
040402,364,,,,
040403,133,,,,
040404,698,,1,,1
040405,240,,1,,5
040406,472,,4,,
040407,258,,,,
040408,308,,,,
040409,468,,5,,1
040410,866,,4,,
040411,267,,,,
040412,57,,,,
040413,688,,,,2
040414,648,,1,,1
040501,822,,2,,5
040502,730,,,,
040503,"1,523",,1,,3
040504,617,,,,1
040505,692,,3,,
040506,770,,1,,3
040507,445,,1,,1
040508,835,,1,,
040509,483,,1,,3
040510,677,,1,,2
040511,"1,337",,,,9
040512,800,,1,,2
040513,542,,,,1
040514,764,,,,1
040515,223,,1,,3
040516,345,,2,,
040517,763,,1,,2
040518,537,,,,7
040519,819,1,1,,5
040520,"2,787",,,,13
040601,866,,1,,7
040602,198,,2,,3
040603,557,,4,,
040604,275,,1,,
040605,352,,,,1
040606,336,,,,
040607,509,,5,,
040608,"1,114",,4,,1
040701,473,,,,1
040702,896,,,,1
040703,923,,,,2
040704,,,,,
040705,103,,,,
040706,"1,121",,,,
040801,608,,,,7
040802,747,,,,
040803,207,,,,
040804,965,,4,,3
040805,508,1,4,,2
040806,"1,014",,3,,2
040807,173,,,,1
040808,117,,,,1
040809,139,,1,,
040810,227,,3,,2
040811,437,,4,,5
050101,945,,4,,2
050102,"2,656",,24,,
050103,"1,059",,8,,
050104,153,,1,,
050105,"2,933",,20,,7
050106,"1,777",,8,,3
050107,922,,2,,2
050108,"2,354",,6,,1
050109,940,,2,,
050110,185,1,,,2
050111,679,,7,,
050112,"1,605",,20,,5
050113,"1,599",,11,,
050114,"3,647",,27,,2
050115,206,,3,,
050116,,,,,
050201,"1,700",,13,,1
050202,"2,027",,6,,
050203,"2,296",,18,,
050204,726,,3,,
050205,"1,330",,4,,1
050206,"1,301",,8,,7
050301,608,,1,,6
050302,944,,4,,20
050303,477,,3,,
050304,917,,2,,
050401,"6,396",,42,,2
050402,987,,13,,
050403,"2,177",,3,,
050404,"1,262",,4,,
050405,"1,973",,5,,5
050406,"2,028",,33,,7
050407,"2,934",,4,,2
050408,"2,619",,2,1,1
050409,,,,,
050410,,,,,
050411,,,,,
050412,,,,,
050501,"2,382",,18,,12
050502,"2,622",,,,
050503,"2,061",,2,,4
050504,"1,372",,2,,2
050505,"1,336",,5,1,
050506,868,,,,
050507,"2,785",,,1,1
050508,"3,469",,3,,1
050509,639,,,,
050510,,,,,
050511,,,,,
050601,"2,159",,8,,2
050602,832,,11,,16
050603,504,,2,,3
050604,384,,1,,2
050605,638,,2,,
050606,940,,12,,5
050607,584,,8,,7
050608,450,,,,
050609,497,,4,,7
050610,430,,2,,4
050611,803,,8,,5
050612,811,,3,,17
050613,305,,7,,
050614,127,,1,,1
050615,787,,1,,
050616,220,,,,
050617,"1,204",,2,,1
050618,529,,3,,2
050619,738,,1,,
050620,259,,1,,
050621,315,,3,,4
050701,"2,481",,2,,4
050702,"1,048",,5,,2
050703,261,,7,,
050704,296,,5,,
050705,776,,9,,7
050706,833,,7,,1
050707,480,,7,,
050708,516,,6,,
050801,666,,6,,7
050802,215,,2,,2
050803,257,,1,,2
050804,760,,3,,
050805,182,,3,,
050806,558,,6,,
050807,266,,,,
050808,202,,,,
050809,227,,6,,1
050810,200,,,,
050901,581,,4,,10
050902,105,,1,,
050903,163,,1,,
050904,160,,1,,
050905,147,,,,
050906,451,,4,,
050907,215,,2,,
050908,255,,3,,
050909,339,,,,
050910,267,,3,,
050911,272,,3,,
051001,"1,192",,1,,9
051002,546,,6,,
051003,238,,3,,1
051004,138,,2,,
051005,581,,3,,1
051006,582,,3,,2
051007,893,,2,,1
051008,462,,1,,5
051009,871,,1,,2
051010,"1,299",,2,,4
051011,834,,4,,5
051012,"1,080",,9,,8
051101,"1,589",,6,,3
051102,347,,5,,
051103,252,,,,
051104,591,,,,
051105,542,,3,,1
051106,416,,3,,
051107,401,,,,
051108,"1,456",,9,,1
060101,"11,929",13,6,,5
060102,"2,501",,7,,1
060103,"1,277",,7,,
060104,"1,894",,6,,1
060105,"13,264",,3,,1
060106,"4,502",,4,,
060107,"2,517",,,,1
060108,"9,764",,2,,5
060109,"9,764",,5,,11
060110,"1,324",,,,
060111,"2,657",,1,,
060112,"1,489",1,2,,1
060201,"4,803",,4,,12
060202,"8,123",,2,,11
060203,"4,997",,2,,19
060204,"2,369",1,1,,16
060301,"4,495",,,,6
060302,768,,,,
060303,"1,409",,,,2
060304,"3,718",,,,
060305,703,,,,
060306,"2,005",,,,5
060307,"1,082",,,,2
060308,"1,625",,,,
060309,"6,705",,,,
060310,"2,902",,1,,30
060311,702,,1,,
060312,"1,776",,,,
060401,"13,036",,4,,5
060402,"2,505",,,,
060403,"1,065",,,,
060404,"3,111",,,,2
060405,662,,,,
060406,490,,,,
060407,"2,302",,,,
060408,"2,838",,,,
060409,"3,458",,1,,1
060410,"5,673",,1,,2
060411,"1,625",,2,,1
060412,"1,208",,1,,2
060413,"1,694",,,,
060414,593,1,,,2
060415,"2,734",,2,,2
060416,393,,1,,
060417,"4,841",,,,
060418,357,,2,,
060419,"5,245",,,,6
060501,"2,056",,2,,14
060502,171,,2,,3
060503,664,,2,,8
060504,816,,1,,11
060505,"1,064",,1,,2
060506,320,,1,,
060507,785,,2,,
060508,996,,,,4
060601,"18,964",,5,,3
060602,"3,129",,,,
060603,898,,,,
060604,771,,1,,
060605,957,,,,
060606,"1,444",,,,
060607,"6,549",,,,
060608,"1,523",,,,
060609,481,,,,
060610,864,,,,
060611,"1,384",,,,
060612,"1,809",,,,
060613,"2,452",,,,
060614,"2,431",,2,,
060615,356,,,,
060701,"4,670",,,,
060702,"1,374",,,,
060703,"4,029",,1,,
060801,"3,266",,,,2
060802,"2,226",,,,2
060803,"2,353",,,,6
060804,"2,761",,1,,5
060805,"1,981",,,,1
060806,"1,351",,,,1
060807,"1,869",,,,
060808,475,,,,
060809,"1,731",,1,,3
060810,"1,267",,1,,1
060811,"1,972",,,,13
060812,"2,316",,2,,6
060901,"8,747",2,,,10
060902,"4,816",2,,2,26
060903,"4,413",,2,5,3
060904,"6,928",1,1,,18
060905,"2,480",,,,9
060906,"2,480",,,,9
060907,"2,480",,,,9
061001,"5,087",,2,,2
061002,"1,908",,,,
061003,594,,,,
061004,"2,947",,1,,2
061005,"2,069",,,,
061006,"3,209",,,,
061007,"3,800",,,,3
061101,"4,843",,,,2
061102,415,,,,
061103,"1,494",,2,,1
061104,"1,028",,,,1
061105,624,,,,
061106,705,,,,
061107,"2,312",,4,,
061108,540,,,,
061109,"1,320",,1,,
061110,749,,2,,2
061111,"1,754",,,,
061112,"1,074",,,,
061113,"1,142",,,,3
061201,"3,095",,2,,
061202,"1,314",,2,,2
