UBIGEO,N_MERCADOS_2017,N_MERCADOS_2022,N_MERCADOS_2023
010101,3,3,3
010102,0,0,0
010103,0,0,0
010104,0,0,0
010105,0,0,0
010106,0,0,0
010107,0,0,0
010108,0,0,0
010109,0,0,0
010110,1,1,1
010111,0,0,0
010112,0,0,0
010113,0,0,0
010114,0,0,0
010115,0,0,0
010116,0,0,0
010117,0,0,0
010118,0,0,0
010119,0,0,0
010120,0,0,0
010121,0,0,0
010201,1,1,1
010202,1,1,1
010203,0,0,0
010204,0,0,0
010205,2,2,2
010206,2,2,2
010301,0,0,0
010302,0,0,0
010303,0,0,0
010304,0,0,0
010305,0,0,0
010306,0,0,0
010307,2,2,2
010308,0,0,0
010309,0,0,0
010310,0,0,0
010311,0,0,0
010312,0,0,0
010401,1,1,1
010402,0,0,0
010403,0,0,0
010501,1,1,1
010502,0,0,0
010503,0,0,0
010504,0,0,0
010505,1,1,1
010506,0,0,0
010507,0,0,0
010508,0,0,0
010509,1,1,1
010510,0,0,0
010511,0,0,0
010512,0,0,0
010513,0,0,0
010514,0,0,0
010515,0,0,0
010516,0,0,0
010517,0,0,0
010518,0,0,0
010519,0,0,0
010520,0,0,0
010521,0,0,0
010522,0,0,0
010601,1,1,1
010602,0,0,0
010603,0,0,0
010604,1,1,1
010605,0,0,0
010606,0,0,0
010607,0,0,0
010608,0,0,0
010609,0,0,0
010610,0,0,0
010611,0,0,0
010612,0,0,0
010701,5,5,5
010702,1,1,1
010703,1,1,1
010704,0,0,0
010705,0,0,0
010706,1,1,1
010707,0,0,0
020101,5,5,5
020102,0,0,0
020103,0,0,0
020104,0,0,0
020105,2,2,2
020106,0,0,0
020107,0,0,0
020108,0,1,1
020108,0,1,1
020109,0,0,0
020110,0,0,0
020111,0,0,0
020112,1,1,1
020201,1,1,1
020202,0,0,0
020203,0,0,0
020204,0,0,0
020205,0,0,0
020301,0,0,0
020302,0,0,0
020303,0,0,0
020304,0,0,0
020305,0,0,0
020306,0,0,0
020401,1,1,1
020402,1,1,1
020501,1,1,1
020502,0,0,0
020503,1,1,1
020504,0,0,0
020505,0,0,0
020506,0,0,0
020507,1,1,1
020508,1,1,1
020510,0,0,0
020511,0,0,0
020512,0,0,0
020513,0,0,0
020514,0,0,0
020515,0,0,0
020601,1,1,1
020602,0,0,0
020604,0,0,0
020605,0,0,0
020606,1,1,1
020607,1,1,1
020608,0,0,0
020609,0,0,0
020610,0,0,0
020611,0,0,0
020701,1,1,1
020702,0,0,0
020703,0,0,0
020801,2,2,2
020802,0,0,0
020803,0,0,0
020804,1,1,1
020901,0,0,0
020902,0,0,0
020903,0,0,0
020904,0,0,0
020905,0,0,0
020906,0,0,0
020907,0,0,0
021001,2,2,2
021002,1,1,1
021003,0,0,0
021004,0,0,0
021005,0,0,0
021007,0,0,0
021008,0,0,0
021009,0,0,0
021010,0,0,0
