UBIGEO,POBLACION_2017,POBLACION_2022,POBLACION_2023
010101,"32,589","40,274","40,817"
010102,262,276,273
010103,"1,136","1,158","1,147"
010104,642,707,710
010105,585,575,568
010106,"1,781","1,910","1,898"
010107,480,543,546
010108,"1,258","1,500","1,515"
010109,"3,978","3,697","3,558"
010110,"3,620","3,781","3,759"
010111,794,789,781
010112,852,906,903
010113,"1,367","1,586","1,609"
010114,"2,176","2,235","2,218"
010115,496,472,465
010116,375,441,444
010117,769,778,770
010118,295,326,329
010119,580,581,576
010120,"1,224","1,243","1,234"
010121,247,280,283
010201,"27,102","30,479","30,652"
010202,"9,765","9,919","9,770"
010203,"4,595","4,452","4,334"
010204,"1,216","1,273","1,262"
010205,"25,162","33,338","33,812"
010206,"6,260","6,374","6,299"
010301,"1,337","1,283","1,258"
010302,306,313,310
010303,287,298,295
010304,772,835,842
010305,669,662,650
010306,"5,999","6,353","6,321"
010307,"7,580","7,774","7,683"
010308,208,216,213
010309,489,579,592
010310,"1,539","1,716","1,730"
010311,874,775,745
010312,"5,577","5,645","5,581"
010401,"18,626","20,264","19,939"
010402,"9,891","13,122","13,358"
010403,"13,953","18,696","18,978"
010501,"2,227","2,345","2,326"
010502,"6,473","7,644","7,688"
010503,"1,881","1,983","1,948"
010504,"1,853","1,838","1,789"
010505,"1,840","1,875","1,847"
010506,498,451,434
010507,839,860,847
010508,842,817,796
010509,"3,959","4,047","4,004"
010510,388,398,394
010511,744,752,738
010512,"3,556","3,957","3,962"
010513,"3,446","3,641","3,599"
010514,"4,768","4,940","4,862"
010515,"1,316","1,356","1,339"
010516,546,520,505
010517,695,711,699
010518,633,571,547
010519,419,411,399
010520,"1,888","2,189","2,206"
010521,"3,012","2,935","2,865"
010522,"1,265","1,381","1,385"
010523,"1,348","1,459","1,461"
010601,"6,016","6,594","6,629"
010602,"2,498","2,946","2,971"
010603,595,639,642
010604,"2,620","2,515","2,439"
010605,"2,280","2,338","2,290"
010606,"1,631","1,621","1,594"
010607,"1,506","1,519","1,498"
010608,453,405,399
010609,"8,793","10,206","10,273"
010610,512,526,525
010611,282,286,285
010612,"2,812","4,504","4,729"
010701,"50,841","58,947","59,466"
010702,"23,089","23,916","23,574"
010703,"7,855","8,620","8,536"
010704,"5,825","6,551","6,564"
010705,"6,620","7,087","7,012"
010706,"10,080","11,509","11,598"
010707,"2,927","3,249","3,252"
020101,"60,896","69,882","70,410"
020102,"1,639","1,669","1,658"
020103,294,252,245
020104,"1,600","1,608","1,593"
020105,"76,088","90,711","92,336"
020106,"4,781","5,292","5,320"
020107,"1,066","1,095","1,090"
020108,"2,351","2,498","2,493"
020109,956,973,964
020110,"4,606","5,328","5,361"
020111,"3,321","3,456","3,442"
020112,"6,338","7,848","7,992"
020201,"2,017","2,184","2,178"
020202,"1,639","1,538","1,480"
020203,364,327,312
020204,"1,582","1,418","1,366"
020205,714,703,688
020301,"3,288","3,325","3,272"
020302,"1,918","1,863","1,809"
020303,"1,368","1,283","1,254"
020304,"1,851","1,843","1,785"
020305,"4,067","3,986","3,910"
020306,"1,158","1,104","1,078"
020401,"4,563","4,665","4,596"
020402,"2,815","2,792","2,720"
020501,"4,023","3,990","3,924"
020502,244,203,196
020503,994,958,927
020504,"2,062","1,925","1,853"
020505,"1,677","1,899","1,904"
020506,312,246,232
020507,"2,313","2,183","2,104"
020508,"6,468","6,304","6,193"
020509,"1,432","1,210","1,153"
020510,"1,253","1,298","1,256"
020511,457,399,378
020512,492,486,471
020513,917,792,755
020514,495,429,410
020515,658,580,556
020601,"15,122","16,917","17,006"
020602,"2,472","2,820","2,823"
020603,"1,431","1,491","1,473"
020604,"2,365","2,613","2,615"
020605,"1,469","1,628","1,632"
020606,"9,478","11,067","11,167"
020607,"1,381","1,454","1,450"
020608,"2,350","2,498","2,493"
020609,"2,789","2,886","2,872"
020610,"3,335","3,995","4,050"
020611,"2,992","3,300","3,302"
020701,"10,493","10,842","10,694"
020702,"3,131","3,101","3,025"
020703,"4,093","3,982","3,872"
020801,"35,765","42,209","43,067"
020802,"4,831","5,645","5,751"
020803,"2,088","2,375","2,387"
020804,"8,305","9,376","9,483"
020901,"1,677","1,795","1,796"
020902,379,352,336
020903,445,464,453
020904,"2,678","2,901","2,903"
020905,"1,026","1,044","1,024"
020906,634,638,622
020907,693,712,697
021001,"9,178","9,786","9,776"
021002,"1,362","1,371","1,344"
021003,"2,573","2,637","2,619"
021004,"7,971","8,464","8,453"
021005,"1,782","1,830","1,825"
021006,"1,427","1,330","1,294"
021007,"3,307","3,614","3,625"
021008,"2,571","2,737","2,728"
021009,"1,361","1,297","1,264"
021010,"1,561","1,511","1,479"
021011,"2,642","2,647","2,602"
021012,705,764,767
021013,"1,406","1,433","1,415"
021014,"17,033","19,991","20,237"
021015,"2,534","2,724","2,734"
021016,"1,301","1,246","1,223"
021101,"25,117","27,805","28,067"
021102,740,797,786
021103,"3,097","3,424","3,431"
021104,861,950,945
021105,745,742,734
021201,"24,128","27,281","27,376"
021202,960,"1,130","1,139"
021203,"1,344","1,377","1,371"
021204,"1,614","1,682","1,675"
021205,"1,849","1,928","1,905"
021206,"7,804","8,578","8,573"
021207,"6,371","7,001","7,003"
021208,"4,229","4,568","4,559"
021209,"1,055","1,069","1,061"
021210,"1,980","2,239","2,257"
021301,"3,024","3,063","3,025"
021302,"3,668","3,902","3,840"
021303,"1,326","1,394","1,375"
021304,"1,908","1,886","1,825"
021305,"1,020",965,945
021306,"5,629","6,395","6,416"
021307,"2,732","2,787","2,740"
021308,977,994,970
021401,"1,203","1,227","1,204"
021402,656,603,566
021403,300,275,264
021404,472,395,374
021405,"1,421","1,586","1,589"
021406,"1,219","1,287","1,268"
021407,279,225,220
021408,438,383,355
021409,622,458,422
021410,429,458,461
021501,"2,445","2,522","2,484"
021502,986,959,928
021503,"7,391","7,720","7,633"
021504,523,506,492
021505,"1,001","1,059","1,044"
021506,505,494,479
021507,597,607,599
021508,"2,364","2,470","2,440"
021509,"3,980","3,287","3,090"
021510,"1,026","1,133","1,123"
021511,"2,673","2,704","2,648"
021601,"13,834","14,818","14,737"
021602,"2,954","2,936","2,870"
021603,"5,806","6,239","6,151"
021604,"2,200","2,276","2,245"
021701,"4,406","4,374","4,285"
021702,"3,907","3,990","3,941"
021703,409,362,346
021704,620,511,477
021705,912,776,737
021706,"1,608","2,071","2,139"
021707,923,762,716
021708,"1,517","1,768","1,788"
021709,421,412,400
021710,"2,462","2,761","2,768"
021801,"206,213","216,277","215,760"
021802,"4,420","4,736","4,684"
021803,"15,979","17,704","17,743"
021804,"3,125","3,159","3,094"
021805,"8,034","8,791","8,820"
021806,"14,324","14,908","14,904"
021807,"4,770","5,355","5,406"
021808,"19,621","23,318","23,569"
021809,"159,321","189,526","193,571"
021901,"5,411","5,726","5,737"
021902,"1,612","1,572","1,531"
021903,533,466,441
021904,"2,739","2,882","2,840"
021905,905,870,844
021906,"3,518","3,567","3,489"
021907,"2,306","2,310","2,257"
021908,"2,278","2,315","2,263"
021909,"6,187","6,960","6,973"
