UBIGEO,PORCENTAJE_1_3_2017,PORCENTAJE_1_3_2022,PORCENTAJE_1_3_2023
010101,0.33,0.33,0.33
010102,0,0,0
010103,0,0,0
010104,0,0,0
010105,0,0,0
010106,0,0,0
010107,0,0,0
010108,0,0,0
010109,0,0,0
010110,0,0,0
010111,0,0,0
010112,0,0,0
010113,0,0,0
010114,0,0,0
010115,0,0,0
010116,0,0,0
010117,0,0,0
010118,0,0,0
010119,0,0,0
010120,0,0,0
010121,0,0,0
010201,1,1,1
010202,1,1,1
010203,0,0,0
010204,0,0,0
010205,0,0,0
010206,0.5,0.5,0.5
010301,0,0,0
010302,0,0,0
010303,0,0,0
010304,0,0,0
010305,0,0,0
010306,0,0,0
010307,0,0,0
010308,0,0,0
010309,0,0,0
010310,0,0,0
010311,0,0,0
010312,0,0,0
010401,1,1,1
010402,0,0,0
010403,0,0,0
010501,0,0,0
010502,0,0,0
010503,0,0,0
010504,0,0,0
010505,0,0,0
010506,0,0,0
010507,0,0,0
010508,0,0,0
010509,0,0,0
010510,0,0,0
010511,0,0,0
010512,0,0,0
010513,0,0,0
010514,0,0,0
010515,0,0,0
010516,0,0,0
010517,0,0,0
010518,0,0,0
010519,0,0,0
010520,0,0,0
010521,0,0,0
010522,0,0,0
010523,0,0,0
010601,0,0,0
010602,0,0,0
010603,0,0,0
010604,0,0,0
010605,0,0,0
010606,0,0,0
010607,0,0,0
010608,0,0,0
010609,0,0,0
010610,0,0,0
010611,0,0,0
010612,0,0,0
010701,0.4,0.4,0.4
010702,0,0,0
010703,1,1,1
010704,0,0,0
010705,0,0,0
010706,1,1,1
010707,0,0,0
020101,0.4,0.4,0.4
020102,0,0,0
020103,0,0,0
020104,0,0,0
020105,0,0,0
020106,0,0,0
020107,0,0,0
020108,0,1,1
020109,0,0,0
020110,0,0,0
020111,0,0,0
020112,0,0,0
020201,0,0,0
020202,0,0,0
020203,0,0,0
020204,0,0,0
020205,0,0,0
020301,0,0,0
020302,0,0,0
020303,0,0,0
020304,0,0,0
020305,0,0,0
020306,0,0,0
020401,0,0,0
020402,0,0,0
020501,0,0,0
020502,0,0,0
020503,0,0,0
020504,0,0,0
020505,0,0,0
020506,0,0,0
020507,0,0,0
020508,0,0,0
020509,0,0,0
020510,0,0,0
020511,0,0,0
020512,0,0,0
020513,0,0,0
020514,0,0,0
020515,0,0,0
020601,0,0,0
020602,0,0,0
020603,0,0,0
020604,0,0,0
020605,0,0,0
020606,0,0,0
020607,0,0,0
020608,0,0,0
020609,0,0,0
020610,0,0,0
020611,0,0,0
020701,0,0,0
020702,0,0,0
020703,0,0,0
020801,0.5,0.5,0.5
020802,0,0,0
020803,0,0,0
020804,0,0,0
020901,0,0,0
020902,0,0,0
020903,0,0,0
020904,0,0,0
020905,0,0,0
020906,0,0,0
020907,0,0,0
021001,0,0,0
021002,0,0,0
021003,0,0,0
021004,0,0,0
021005,0,0,0
021006,0,0,0
021007,0,0,0
021008,0,0,0
021009,0,0,0
021010,0,0,0
021011,0,0,0
021012,0,0,0
021013,0,0,0
021014,0.5,0.5,0.5
021015,0,0,0
021016,0,0,0
021101,0,0,0
021102,0,0,0
021103,0,0,0
021104,0,0,0
021105,0,0,0
021201,0,0,0
021202,0,0,0
021203,0,0,0
021204,0,0,0
021205,0,0,0
021206,0,0,0
021207,0,0,0
021208,0,0,0
021209,0,0,0
021210,0,0,0
021301,0,0,0
021302,0,0,0
021303,0,0,0
021304,0,0,0
021305,0,0,0
021306,0,0,0
021307,0,0,0
021308,0,0,0
021401,0,0,0
021402,0,0,0
021403,0,0,0
021404,0,0,0
021405,0,0,0
021406,0,0,0
021407,0,0,0
021408,0,0,0
021409,0,0,0
021410,0,0,0
021501,0,0,0
021502,0,0,0
021503,0,0,0
021504,0,0,0
021505,0,0,0
021506,0,0,0
021507,0,0,0
021508,0,0,0
021509,0,0,0
021510,0,0,0
021511,0,0,0
021601,0,0,0
021602,0,0,0
021603,0,0,0
021604,0,0,0
021701,0,0,0
021702,0,0,0
021703,0,0,0
021704,0,0,0
021705,0,0,0
021706,0,0,0
021707,0,0,0
021708,0,0,0
021709,0,0,0
021710,0,0,0
021801,0.09,0.09,0.09
021802,0,0,0
021803,0,0,0
021804,0,0,0
021805,0,0,0
021806,0,0,0
021807,0,0,0
021808,0,0,0
021809,0.05,0.05,0.05
021901,0,0,0
021902,0,0,0
021903,0,0,0
021904,0,0,0
021905,0,0,0
021906,0,0,0
021907,0,0,0
021908,0,0,0
021909,0,0,0
021910,0,0,0
022001,1,1,1
022002,0,0,0
022003,0,0,0
022004,0,0,0
022005,0,0,0
022006,0,0,0
022007,0,0,0
022008,0,0,0
030101,0,0,0
030102,0,0,0
030103,0,0,0
030104,0,0,0
030105,0,0,0
030106,0,0,0
030107,0,0,0
030108,0,0,0
030109,0,0,0
030201,0,0,0
030202,0,0,0
030203,0,0,0
030204,0,0,0
030205,0,0,0
030206,0,0,0
030207,0,0,0
030208,0,0,0
030209,0,0,0
030210,0,0,0
030211,0,0,0
030212,0,0,0
030213,0,0,0
030214,0,0,0
030215,0,0,0
030216,0,0,0
030217,0,0,0
030218,0,0,0
030219,0,0,0
030220,0,0,0
030301,0,0,0
030302,0,0,0
030303,0,0,0
030304,0,0,0
030305,0,0,0
030306,0,0,0
030307,0,0,0
030401,0,0,0
030402,0,0,0
030403,0,0,0
030404,0,0,0
030405,0,0,0
030406,0,0,0
030407,0,0,0
030408,0,0,0
030409,0,0,0
030410,0,0,0
030411,0,0,0
030412,0,0,0
030413,0,0,0
030414,0,0,0
030415,0,0,0
030416,0,0,0
