nombre_cultivo,freq_2017,freq_2018,freq_2019,freq_2022,freq_2024,CATEGORIA_IPC,ES_CULTIVO_CORE_TESIS
limon acido,1557,1449,1497,1321,2018,Frutas,1
naranjo,2347,2289,2300,1854,2280,Frutas,1
cebolla,384,422,390,305,451,"Hortalizas, legumbres y tubérculos",1
papa blanca,6542,6709,5813,5239,8588,"Hortalizas, legumbres y tubérculos",1
maiz amarillo duro,3882,3426,3371,4121,3646,Pan y cereales,1
quinua,1138,1045,1238,835,1618,Pan y cereales,1
ajonjoli,8,8,9,NA,3,Aceites y grasas,0
almendro,3,1,4,3,7,Aceites y grasas,0
castaña,1,11,3,43,5,Aceites y grasas,0
macadamia,NA,NA,NA,1,NA,Aceites y grasas,0
mani para aceite,3,3,3,3,NA,Aceites y grasas,0
mani para fruta,109,111,81,65,57,Aceites y grasas,0
nogal,28,26,26,20,30,Aceites y grasas,0
olivo,405,402,374,460,627,Aceites y grasas,0
pecano,204,215,212,229,270,Aceites y grasas,0
sacha inchi,28,32,41,8,8,Aceites y grasas,0
cacao,1941,1937,2170,2390,2590,"Café, té y cacao",0
cafe pergamino,3690,3574,3393,3438,3154,"Café, té y cacao",0
te,14,17,NA,15,NA,"Café, té y cacao",0
aguaje,249,174,188,187,239,Frutas,0
aguaymanto,100,80,77,35,38,Frutas,0
anona,92,71,58,37,47,Frutas,0
arandano,27,52,41,1,127,Frutas,0
araza,55,43,23,32,9,Frutas,0
arbol del pan,88,68,54,44,48,Frutas,0
atemoya,NA,NA,3,NA,NA,Frutas,0
caimito,360,256,215,108,141,Frutas,0
camu camu,101,83,88,81,30,Frutas,0
capuli,164,144,191,125,223,Frutas,0
caqui,3,2,NA,6,19,Frutas,0
carambola,154,126,136,93,121,Frutas,0
chalarina,18,17,15,13,27,Frutas,0
chayote,NA,NA,1,NA,NA,Frutas,0
chirimbache,NA,1,NA,NA,NA,Frutas,0
chirimoyo,762,728,763,573,1005,Frutas,0
chope,3,6,2,2,1,Frutas,0
cidra,55,36,27,23,59,Frutas,0
cirolero,292,245,259,157,174,Frutas,0
ciruela agria,343,342,379,180,455,Frutas,0
ciruela del fraile,16,48,22,23,54,Frutas,0
copoazu,117,111,138,126,40,Frutas,0
damasco,49,80,79,46,51,Frutas,0
frambuesa,2,7,7,3,6,Frutas,0
