DEPARTAMENTO,COD_DD,IPC_2017,IPC_2018,IPC_2019
AMAZONAS,01,131.72,133.57,136.02
ÁNCASH,02,130.42,131.02,135.56
APURÍMAC,03,137.59,138.92,143.33
AREQUIPA,04,142.59,144.97,148.74
AYACUCHO,05,139.58,140.34,142.67
CAJAMARCA,06,130.48,128.83,132.18
CUSCO,08,141.65,144.07,149.06
HUANCAVELICA,09,134.71,136.16,140.73
HUÁNUCO,10,132.96,134.52,138.64
ICA,11,143.30,142.42,145.42
JUNÍN,12,134.81,135.76,140.35
LA LIBERTAD,13,142.65,142.35,144.13
LAMBAYEQUE,14,138.95,138.47,140.41
LIMA,15,137.03,136.52,138.85
LORETO,16,135.41,136.68,142.97
MADRE DE DIOS,17,121.39,123.83,125.96
MOQUEGUA,18,133.31,133.26,138.04
PASCO,19,129.24,129.96,133.93
PIURA,20,138.74,138.65,140.77
PUNO,21,145.41,149.22,152.72
SAN MARTÍN,22,134.28,134.83,137.49
TACNA,23,137.90,139.98,143.71
TUMBES,24,137.67,139.30,142.15
UCAYALI,25,133.76,135.05,138.30
