DEPARTANENTO,COD_DD,CATEGORIA,ANIO,IPC_ANUAL
AMAZONAS,01,Frutas,2022,107.3725
AMAZONAS,01,Frutas,2024,130.5683333
AMAZONAS,01,"Hortalizas, legumbres y tubérculos",2022,116.2925
AMAZONAS,01,"Hortalizas, legumbres y tubérculos",2024,127.0025
AMAZONAS,01,Pan y cereales,2022,114.4891667
AMAZONAS,01,Pan y cereales,2024,131.7325
ANCASH,02,Frutas,2022,102.7966667
ANCASH,02,Frutas,2024,122.9858333
ANCASH,02,"Hortalizas, legumbres y tubérculos",2022,115.0291667
ANCASH,02,"Hortalizas, legumbres y tubérculos",2024,126.9108333
ANCASH,02,Pan y cereales,2022,117.41
ANCASH,02,Pan y cereales,2024,136.7308333
APURIMAC,01,Frutas,2022,105.2733333
APURIMAC,03,Frutas,2024,128.97
APURIMAC,03,"Hortalizas, legumbres y tubérculos",2022,116.0366667
APURIMAC,03,"Hortalizas, legumbres y tubérculos",2024,124.5041667
APURIMAC,03,Pan y cereales,2022,112.6033333
APURIMAC,03,Pan y cereales,2024,131.7
AREQUIPA,04,Frutas,2022,108.1325
AREQUIPA,04,Frutas,2024,125.615
AREQUIPA,04,"Hortalizas, legumbres y tubérculos",2022,114.205
AREQUIPA,04,"Hortalizas, legumbres y tubérculos",2024,132.4975
AREQUIPA,04,Pan y cereales,2022,113.8791667
AREQUIPA,04,Pan y cereales,2024,130.045
AYACUCHO,05,Frutas,2022,102.33
AYACUCHO,05,Frutas,2024,125.9416667
AYACUCHO,05,"Hortalizas, legumbres y tubérculos",2022,112.015
AYACUCHO,05,"Hortalizas, legumbres y tubérculos",2024,125.0941667
AYACUCHO,05,Pan y cereales,2022,108.7008333
AYACUCHO,05,Pan y cereales,2024,124.6133333
CAJAMARCA,06,Frutas,2022,108.08
CAJAMARCA,06,Frutas,2024,118.2583333
CAJAMARCA,06,"Hortalizas, legumbres y tubérculos",2022,117.0383333
CAJAMARCA,06,"Hortalizas, legumbres y tubérculos",2024,136.2533333
CAJAMARCA,06,Pan y cereales,2022,115.9241667
CAJAMARCA,06,Pan y cereales,2024,128.8666667
CUSCO,08,Frutas,2022,106.1066667
CUSCO,08,Frutas,2024,129.2741667
CUSCO,08,"Hortalizas, legumbres y tubérculos",2022,114.4308333
CUSCO,08,"Hortalizas, legumbres y tubérculos",2024,126.685
CUSCO,08,Pan y cereales,2022,113.0058333
CUSCO,08,Pan y cereales,2024,122.9458333
HUANCAVELICA,09,Frutas,2022,107.2808333
HUANCAVELICA,09,Frutas,2024,128.8008333
HUANCAVELICA,09,"Hortalizas, legumbres y tubérculos",2022,117.515
HUANCAVELICA,09,"Hortalizas, legumbres y tubérculos",2024,125.7333333
HUANCAVELICA,09,Pan y cereales,2022,113.0525
HUANCAVELICA,09,Pan y cereales,2024,126.4208333
HUÁNUCO,10,Frutas,2022,108.2875
HUÁNUCO,10,Frutas,2024,118.48
HUÁNUCO,10,"Hortalizas, legumbres y tubérculos",2022,121.2466667
HUÁNUCO,10,"Hortalizas, legumbres y tubérculos",2024,129.1233333
HUÁNUCO,10,Pan y cereales,2022,111.6241667
HUÁNUCO,10,Pan y cereales,2024,127.3316667
ICA,11,Frutas,2022,110.165
ICA,11,Frutas,2024,121.69
ICA,11,"Hortalizas, legumbres y tubérculos",2022,114.3008333
ICA,11,"Hortalizas, legumbres y tubérculos",2024,129.5441667
ICA,11,Pan y cereales,2022,107.3508333
ICA,11,Pan y cereales,2024,121.93
JUNÍN,12,Frutas,2022,107.5358333
JUNÍN,12,Frutas,2024,130.9816667
JUNÍN,12,"Hortalizas, legumbres y tubérculos",2022,118.2275
JUNÍN,12,"Hortalizas, legumbres y tubérculos",2024,126.6125
JUNÍN,12,Pan y cereales,2022,110.95
JUNÍN,12,Pan y cereales,2024,128.7025
LA LIBERTAD,13,Frutas,2022,109.8733333
LA LIBERTAD,13,Frutas,2024,125.1375
LA LIBERTAD,13,"Hortalizas, legumbres y tubérculos",2022,111.7758333
LA LIBERTAD,13,"Hortalizas, legumbres y tubérculos",2024,126.6358333
LA LIBERTAD,13,Pan y cereales,2022,105.4558333
LA LIBERTAD,13,Pan y cereales,2024,118.7575
LAMBAYEQUE,14,Frutas,2022,123.4416667
LAMBAYEQUE,14,Frutas,2024,136.7258333
LAMBAYEQUE,14,"Hortalizas, legumbres y tubérculos",2022,127.1525
LAMBAYEQUE,14,"Hortalizas, legumbres y tubérculos",2024,148.3525
LAMBAYEQUE,14,Pan y cereales,2022,106.7041667
LAMBAYEQUE,14,Pan y cereales,2024,120.8791667
LIMA,15,Frutas,2022,109.4525
LIMA,15,Frutas,2024,124.9108333
LIMA,15,"Hortalizas, legumbres y tubérculos",2022,116.5683333
