DEPARTAMENTO,PCT_PAV_VECINAL_2017,PCT_PAV_VECINAL_2018,PCT_PAV_VECINAL_2022
AMAZONAS,0.00,0.00,0.00
ANCASH,1.50,1.47,1.65
APURIMAC,0.15,0.15,0.20
AREQUIPA,6.51,6.53,8.73
AYACUCHO,0.22,0.22,2.39
CAJAMARCA,0.34,0.33,0.61
CALLAO,,,
CUSCO,1.16,0.94,2.59
HUANCAVELICA,0.01,0.01,0.01
HUANUCO,0.07,0.07,2.22
ICA,4.01,3.97,9.27
JUNIN,2.40,2.34,3.72
LA LIBERTAD,2.80,2.78,2.89
LAMBAYEQUE,1.34,1.34,1.34
LIMA,4.03,3.91,3.71
LORETO,4.35,4.29,13.34
MADRE DE DIOS,0.37,0.49,0.49
MOQUEGUA,7.87,7.89,7.01
PASCO,0.00,0.00,0.63
PIURA,2.58,2.58,5.08
PUNO,0.49,0.48,0.93
SAN MARTIN,0.00,0.00,0.07
TACNA,11.72,11.69,15.21
TUMBES,1.80,1.64,2.50
UCAYALI,0.26,0.26,0.26
