UBIGEO,N_MERCADOS_2017,N_MERCADOS_2018,N_MERCADOS_2022,N_MERCADOS_2016,N_PUESTOS_VERDURAS_2016
010101,3,3,3,3,85
010205,2,2,2,2,4
010201,1,1,1,1,5
010202,1,1,2,1,5
010110,1,1,1,1,10
010119,0,1,1,0,0
010104,0,0,0,0,0
010103,0,1,1,0,0
010112,0,0,0,0,0
010120,0,0,0,0,0
010108,0,0,0,0,0
010113,0,0,0,0,0
010117,0,0,0,0,0
010121,0,0,1,0,0
010114,0,0,0,0,0
010118,0,0,0,0,0
010109,0,0,0,0,0
010107,0,0,0,0,0
010102,0,0,0,0,0
010116,0,0,0,0,0
010203,0,0,1,0,0
010111,0,0,0,0,0
010115,0,0,0,0,0
010106,0,0,0,0,0
010204,0,0,0,0,0
010105,0,0,0,0,0
150132,118,118,118,118,"1,013"
150135,110,110,110,110,600
070101,76,76,76,76,757
150103,67,67,67,67,511
150133,63,63,63,63,418
150143,58,58,58,58,344
150117,56,56,56,56,627
070106,53,53,53,53,352
150108,51,51,51,51,235
150142,50,50,50,50,519
150101,50,50,50,50,483
150110,45,45,45,45,549
130101,42,42,42,42,966
150140,34,34,34,34,231
150115,33,33,33,33,294
021801,32,32,32,32,901
150137,30,30,30,30,"1,130"
120114,28,28,28,28,124
150125,28,28,28,28,327
150128,25,25,25,25,164
150106,23,23,23,23,139
150105,21,21,21,21,193
150111,21,21,21,21,144
150136,20,20,20,20,113
150112,20,20,20,20,150
021809,19,19,19,19,152
120101,19,19,19,19,218
150118,19,19,19,19,146
040129,19,19,19,19,903
150801,19,19,19,19,159
130105,18,18,18,18,235
200101,17,17,17,17,434
140101,17,17,17,17,296
070104,16,16,16,16,43
150201,16,16,16,16,979
150123,15,15,15,15,86
150141,14,14,14,14,170
050101,14,14,14,14,446
150134,14,14,14,14,52
230101,13,13,13,13,795
040112,13,13,13,13,86
211101,13,13,13,13,583
150119,13,13,13,13,109
040104,13,13,13,13,112
070102,12,12,12,12,89
130102,11,11,11,11,128
150121,11,11,11,11,65
150116,11,11,11,11,82
150601,9,9,9,9,214
150130,9,9,9,9,39
080105,8,8,8,8,125
150102,8,8,8,8,43
080101,8,8,8,8,278
130104,8,8,8,8,49
150120,8,8,8,8,133
150114,8,8,8,8,30
250101,8,8,8,8,325
040101,8,8,8,8,138
230110,8,8,8,8,115
110101,8,8,8,8,280
170101,7,7,7,7,117
070107,7,7,7,7,58
120701,7,7,7,7,282
100102,7,7,7,7,144
150107,7,7,7,7,37
040110,7,7,7,7,46
021808,6,6,6,6,30
110106,6,6,6,6,59
150204,6,6,6,6,93
130111,6,6,6,6,46
100101,6,6,6,6,64
180301,6,6,6,6,61
140105,6,6,6,6,"1,020"
040103,6,6,6,6,59
220101,6,6,6,6,149
040701,5,5,5,5,19
040109,5,5,5,5,29
210101,5,5,5,5,222
200801,5,5,5,5,40
120107,5,5,5,5,33
160201,5,5,5,5,25
020101,5,5,5,5,353
120801,5,5,5,5,37
120601,5,5,5,5,12
160101,5,5,5,5,183
180101,5,5,5,5,123
150501,5,5,5,5,347
010701,5,5,5,5,87
150202,5,5,5,5,75
120305,5,5,5,5,54
060101,5,5,5,5,130
220901,5,5,5,5,152
150104,5,5,5,5,39
