UBIGEO,POBLACION_2017,POBLACION_2018,POBLACION_2022,SUPERFICIE_KM2,ALTITUD_MSNM
010101,32589,36602,40274,153.78,2338
010102,262,283,276,25.71,2823
010103,1136,1222,1158,357.09,859
010104,642,687,707,56.97,2143
010105,585,619,575,143.43,2677
010106,1781,1970,1910,278.63,2803
010107,480,523,543,181.41,3041
010108,1258,1334,1500,48.79,2591
010109,3978,4187,3697,380.39,2869
010110,3620,3862,3781,373.14,2226
010111,794,830,789,77.54,2681
010112,852,913,906,135.47,1892
010113,1367,1474,1586,83.58,2210
010114,2176,2320,2235,333.86,2405
010115,496,519,472,119.01,2421
010116,375,422,441,125.16,3053
010117,769,819,778,91.59,3151
010118,295,321,326,47.41,2254
010119,580,608,581,101.67,2339
010120,1224,1293,1243,84.48,2387
010121,247,270,280,113.26,2089
010201,27102,29096,30479,150.99,408
010202,9765,10422,9919,809.07,502
010203,4595,4903,4452,99.05,693
010204,1216,1294,1273,18.48,626
010205,25162,30392,33338,4430.84,317
010206,6260,6709,6374,144.29,892
010301,1337,1373,1283,154.18,2081
010302,306,323,313,174.96,2057
010303,287,299,298,33.34,1399
010304,772,810,835,45.67,2297
010305,669,702,662,110.72,1912
010306,5999,6400,6353,203.22,2251
010307,7580,8035,7774,88.83,1342
010308,208,220,216,24.58,2166
010309,489,519,579,100.76,1942
010310,1539,1630,1716,127.29,1668
010311,874,898,775,90.14,1928
010312,5577,5833,5645,1715.96,1887
010401,18626,21231,20264,4481.63,189
010402,9891,11863,13122,5458.48,253
010403,13953,17086,18696,8035.28,190
010501,2227,2379,2345,69.49,2328
010502,6473,7313,7644,376.01,1748
010503,1881,2087,1983,355.85,2273
010504,1853,2011,1838,106.6,2355
010505,1840,1950,1875,256.17,2767
010506,498,517,451,118.04,2380
010507,839,898,860,57.91,2799
010508,842,891,817,83.82,2329
010509,3959,4147,4047,91.21,2359
010510,388,408,398,73.87,2924
010511,744,792,752,80.27,2757
010512,3556,3919,3957,177.39,1757
010513,3446,3744,3641,235.86,1898
010514,4768,5160,4940,306.5,2049
010515,1316,1406,1356,71.22,1784
010516,546,576,520,33.36,2636
010517,695,745,711,113.94,2404
010518,633,668,571,214.66,2498
010519,419,453,411,88.02,2164
010520,1888,2078,2189,126.21,2574
010521,3012,3176,2935,84.93,2837
010522,1265,1355,1381,102.67,1800
010523,1348,1437,1459,12.68,2888
010601,6016,6278,6594,206.01,1616
010602,2498,2713,2946,153,1663
010603,595,628,639,199.44,1720
010604,2620,2772,2515,99.56,1731
010605,2280,2491,2338,317.88,1677
010606,1631,1704,1621,66.24,1623
010607,1506,1568,1519,176.18,1592
010608,453,458,405,26.8,1665
010609,8793,9603,10206,175.13,1368
010610,512,538,526,34.11,1770
010611,282,293,286,6.02,1674
010612,2812,3467,4504,899.02,1504
010701,50841,56257,58947,746.64,444
010702,23089,24996,23916,1746.23,469
010703,7855,8852,8620,292.66,477
010704,5825,6422,6551,313.89,392
010705,6620,7303,7087,357.98,1184
010706,10080,11034,11509,327.92,1269
010707,2927,3230,3249,57.61,1052
020101,60896,66195,69882,432.99,3073
020102,1639,1745,1669,135.65,2135
020103,294,314,252,50.65,3154
020104,1600,1726,1608,209.34,2592
020105,76088,82563,90711,342.95,3047
020106,4781,5056,5292,59.84,2824
020107,1066,1132,1095,164.26,3343
020108,2351,2513,2498,222.91,3443
020109,956,1040,973,357.81,3698
020110,4606,5078,5328,162.5,1264
020111,3321,3536,3456,243.73,3602
020112,6338,7129,7848,110.28,2832
020201,2017,2158,2184,159.74,3421
020202,1639,1713,1538,267.15,2903
020203,364,383,327,37.91,3020
020204,1582,1627,1418,153.08,3311
020205,714,751,703,78.84,3167
020301,3288,3468,3325,90.82,3400
020302,1918,2013,1863,69.03,2680
020303,1368,1421,1283,73.99,3371
020304,1851,1960,1843,48.95,2866
020305,4067,4279,3986,175.69,3147
020306,1158,1208,1104,103.13,3503
020401,4563,4852,4665,447.69,3387
020402,2815,3027,2792,80.97,2864
020501,4023,4092,3990,184.16,3410
020502,244,249,203,11.31,2108
020503,994,1046,958,118.7,2139
020504,2062,2188,1925,434.6,3356
020505,1677,1838,1899,193.06,2616
020506,312,318,246,19.45,2465
020507,2313,2452,2183,274.61,772
020508,6468,6727,6304,873.39,3563
020509,1432,1474,1210,387.91,3382
020510,1253,1352,1298,127.99,3287
020511,457,473,399,68.61,2658
020512,492,524,486,115.84,3492
020513,917,955,792,211.98,3296
020514,495,511,429,43.78,3405
020515,658,678,580,89.41,3665
020601,15122,16139,16917,194.62,2663
020602,2472,2734,2820,14.17,2692
020603,1431,1535,1491,11.99,2905
020604,2365,2553,2613,40.77,2800
020605,1469,1593,1628,47.22,2749
020606,9478,10378,11067,157.49,2767
020607,1381,1457,1454,11.74,2830
020608,2350,2502,2498,133.89,2956
020609,2789,2962,2886,130.19,3036
020610,3335,3687,3995,15.44,2606
020611,2992,3257,3300,46.43,2836
020701,10493,11202,10842,256.45,3145
020702,3131,3322,3101,197.39,2890
020703,4093,4324,3982,170.41,3257
020801,35765,38133,42209,1204.85,59
020802,4831,5128,5645,476.62,225
020803,2088,2280,2375,222.36,14
020804,8305,8841,9376,357.2,831
020901,1677,1789,1795,143.13,3172
020902,379,401,352,56.54,3118
020903,445,483,464,151.13,2943
020904,2678,2856,2901,411.55,3196
020905,1026,1088,1044,93.94,1803
020906,634,676,638,45.85,2877
020907,693,741,712,85.87,2781
021001,9178,9781,9786,398.91,3114
021002,1362,1467,1371,80.31,3197
021003,2573,2711,2637,159.35,3175
021004,7971,8548,8464,434.13,3115
021005,1782,1880,1830,86.7,3498
021006,1427,1488,1330,72.16,3491
021007,3307,3611,3614,153.89,3275
021008,2571,2782,2737,156.15,3363
021009,1361,1439,1297,75.33,2547
021010,1561,1632,1511,135.31,3433
021011,2642,2829,2647,118.29,3142
021012,705,749,764,9.02,2521
021013,1406,1500,1433,143.34,3233
021014,17033,18446,19991,556.75,2988
021015,2534,2687,2724,138.65,3439
021016,1301,1359,1246,53.61,3347
021101,25117,26102,27805,2894.38,30
021102,740,822,797,100.02,3529
021103,3097,3350,3424,630.25,41
021104,861,976,950,58.99,2702
021105,745,799,742,219.52,3132
021201,24128,26307,27281,246.52,2273
021202,960,1080,1130,178.8,1391
021203,1344,1421,1377,70.69,2712
021204,1614,1722,1682,56.89,2735
021205,1849,1982,1928,107.12,2209
021206,7804,8552,8578,496.35,2772
021207,6371,6951,7001,130.99,2485
021208,4229,4612,4568,357.7,2890
021209,1055,1132,1069,82.02,2926
021210,1980,2124,2239,565.7,1484
021301,3024,3184,3063,45.93,3326
021302,3668,4046,3902,77.38,3176
021303,1326,1402,1394,93.96,2845
021304,1908,2034,1886,204.82,2849
021305,1020,1063,965,48.13,2839
021306,5629,6255,6395,143.27,2900
021307,2732,2910,2787,77.37,3096
021308,977,1041,994,39.72,3001
021401,1203,1287,1227,230.55,3238
021402,656,701,603,252.48,3712
021403,300,318,275,75.52,3545
021404,472,489,395,109.78,2250
021405,1421,1535,1586,408.66,1290
021406,1219,1309,1287,130.03,3112
021407,279,285,225,33.69,2767
021408,438,460,383,67.75,3634
021409,622,643,458,531.21,2243
021410,429,450,458,85.76,3692
021501,2445,2619,2522,150.29,3156
021502,986,1065,959,86.88,2931
021503,7391,7879,7720,585.24,3206
021504,523,552,506,63.59,3140
021505,1001,1090,1059,116,3063
021506,505,537,494,64.68,3427
021507,597,633,607,28.69,3416
021508,2364,2533,2470,59.77,3086
021509,3980,4105,3287,438.18,3216
021510,1026,1146,1133,298.77,2413
021511,2673,2863,2704,209.12,3368
021601,13834,14881,14818,347.92,2964
021602,2954,3130,2936,88.97,2993
021603,5806,6421,6239,331.1,3182
021604,2200,2341,2276,146.06,3129
021701,4406,4614,4374,142.96,3428
021702,3907,4068,3990,1018.27,3579
021703,409,423,362,172.85,3032
021704,620,648,511,105.29,2908
021705,912,929,776,101.1,3020
021706,1608,1758,2071,184.84,2615
021707,923,947,762,100.51,3552
021708,1517,1639,1768,254.85,3402
021709,421,447,412,81.23,3596
021710,2462,2701,2761,142.29,3485
021801,206213,215834,216277,1461.44,52
021802,4420,4826,4736,549.78,1210
021803,15979,16941,17704,9.21,31
021804,3125,3346,3159,584.65,2731
021805,8034,8449,8791,359.35,504
021806,14324,14601,14908,458.24,159
021807,4770,5022,5355,153.98,17
021808,19621,21748,23318,42.23,35
021809,159321,168370,189526,389.73,40
021901,5411,5652,5726,43.81,2767
021902,1612,1695,1572,153.04,3147
021903,533,557,466,80.71,3197
021904,2739,2955,2882,66.96,3430
021905,905,947,870,173.2,3157
021906,3518,3769,3567,287.58,3329
021907,2306,2451,2310,146.98,3035
021908,2278,2452,2315,208.45,3437
021909,6187,6806,6960,209.24,2739
021910,1482,1556,1423,86,3148
022001,20070,21873,22654,276.68,2517
022002,1674,1747,1643,138.32,2742
022003,6336,6906,6821,64.05,2542
022004,1343,1511,1536,43.65,2486
022005,11629,12926,13284,373.83,1267
022006,2657,2932,2981,22.89,2496
022007,1840,1955,1845,162.21,2517
022008,5292,5577,5124,279.85,3389
030101,69028,72761,78681,313.07,2500
030102,1339,1410,1454,186.1,3482
030103,1866,1933,1796,641.68,3206
030104,16223,17136,17128,817.98,2694
030105,2886,3010,2550,432.62,3155
030106,3002,3092,2547,521.62,3126
030107,2774,2877,2471,370.69,2766
030108,2541,2642,2332,108.77,2916
030109,10861,11510,12542,54.6,2620
030201,42268,44284,48053,174.11,2836
030202,5459,5730,5368,172.05,3002
030203,1186,1236,1180,148.92,3289
030204,5210,5378,4654,153.04,2976
030205,3753,3951,3724,112.2,2909
030206,750,786,708,96.87,3196
030207,6023,6385,5650,309.91,3717
030208,3452,3562,3022,245.9,2712
030209,7989,8638,8037,170.39,3162
030210,2199,2314,2256,602.5,3388
030211,863,908,871,129.19,3673
030212,2910,3048,2955,178.78,3258
030213,20738,22061,22601,237.42,2973
030214,1613,1690,1605,83.37,3681
030215,8152,8754,8373,162.14,3287
030216,18509,19465,20572,148.12,2842
030217,1864,1960,1857,446.71,3409
030218,3642,3810,3660,121.67,3327
030219,1816,1851,1610,97.79,3087
030220,4081,4294,4975,195.92,3590
030301,2776,2922,2747,603.76,3664
030302,552,584,607,68.81,3304
030303,1841,1955,2094,337.6,3500
030304,1711,1783,1664,623.22,3316
030305,2268,2404,2259,1180.12,3327
030306,1054,1099,1040,226.73,3465
030307,1108,1148,1018,178.77,3441
030401,4928,5122,5208,322.34,2929
030402,580,617,554,77.75,3311
030403,929,976,844,234.91,3324
030404,1893,1965,1814,213.09,3423
030405,693,727,661,95.75,3174
030406,2570,2704,2268,1749.83,3268
030407,462,479,430,72.89,3172
030408,735,770,678,97.64,3133
030409,1529,1593,1371,110.48,2822
030410,1022,1065,1002,82.55,3374
030411,769,795,719,86.13,2874
030412,1107,1152,1063,448.91,3373
