intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",1,papa blanca,397,367,55,"HUARAZ (HUARAZ, ANCASH) || COCHABAMBA (HUARAZ, ANCASH) || COLCABAMBA (HUARAZ, ANCASH) || HUANCHAY (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || JANGAS (HUARAZ, ANCASH) || LA LIBERTAD (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || PAMPAS GRANDE (HUARAZ, ANCASH) || PARIACOTO (HUARAZ, ANCASH) || PIRA (HUARAZ, ANCASH) || TARICA (HUARAZ, ANCASH) || AIJA (AIJA, ANCASH) || CORIS (AIJA, ANCASH) || HUACLLAN (AIJA, ANCASH) || LA MERCED (AIJA, ANCASH) || SUCCHA (AIJA, ANCASH) || CHACAS (ASUNCION, ANCASH) || AQUIA (BOLOGNESI, ANCASH) || HUALLANCA (BOLOGNESI, ANCASH) || CARHUAZ (CARHUAZ, ANCASH) || ACOPAMPA (CARHUAZ, ANCASH) || ANTA (CARHUAZ, ANCASH) || MARCARA (CARHUAZ, ANCASH) || PARIAHUANCA (CARHUAZ, ANCASH) || SAN MIGUEL DE ACO (CARHUAZ, ANCASH) || SHILLA (CARHUAZ, ANCASH) || TINCO (CARHUAZ, ANCASH) || YUNGAR (CARHUAZ, ANCASH) || SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH) || HUARI (HUARI, ANCASH) || CAJAY (HUARI, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUACHIS (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || MASIN (HUARI, ANCASH) || PONTO (HUARI, ANCASH) || RAHUAPAMPA (HUARI, ANCASH) || SAN MARCOS (HUARI, ANCASH) || SAN PEDRO DE CHANA (HUARI, ANCASH) || COCHAPETI (HUARMEY, ANCASH) || HUAYAN (HUARMEY, ANCASH) || MALVAS (HUARMEY, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || COTAPARACO (RECUAY, ANCASH) || HUAYLLAPAMPA (RECUAY, ANCASH) || MARCA (RECUAY, ANCASH) || PAMPAS CHICO (RECUAY, ANCASH) || TAPACOCHA (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH) || SHUPLUY (YUNGAY, ANCASH) || PACHAS (DOS DE MAYO, HUANUCO) || LLATA (HUAMALIES, HUANUCO) || PUÑOS (HUAMALIES, HUANUCO)"
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",2,maiz amilaceo,352,424,55,"HUARAZ (HUARAZ, ANCASH) || COCHABAMBA (HUARAZ, ANCASH) || COLCABAMBA (HUARAZ, ANCASH) || HUANCHAY (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || JANGAS (HUARAZ, ANCASH) || LA LIBERTAD (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || PAMPAS GRANDE (HUARAZ, ANCASH) || PARIACOTO (HUARAZ, ANCASH) || PIRA (HUARAZ, ANCASH) || TARICA (HUARAZ, ANCASH) || AIJA (AIJA, ANCASH) || CORIS (AIJA, ANCASH) || HUACLLAN (AIJA, ANCASH) || LA MERCED (AIJA, ANCASH) || SUCCHA (AIJA, ANCASH) || CHACAS (ASUNCION, ANCASH) || AQUIA (BOLOGNESI, ANCASH) || HUALLANCA (BOLOGNESI, ANCASH) || CARHUAZ (CARHUAZ, ANCASH) || ACOPAMPA (CARHUAZ, ANCASH) || ANTA (CARHUAZ, ANCASH) || MARCARA (CARHUAZ, ANCASH) || PARIAHUANCA (CARHUAZ, ANCASH) || SAN MIGUEL DE ACO (CARHUAZ, ANCASH) || SHILLA (CARHUAZ, ANCASH) || TINCO (CARHUAZ, ANCASH) || YUNGAR (CARHUAZ, ANCASH) || SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH) || HUARI (HUARI, ANCASH) || CAJAY (HUARI, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUACHIS (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || MASIN (HUARI, ANCASH) || PONTO (HUARI, ANCASH) || RAHUAPAMPA (HUARI, ANCASH) || SAN MARCOS (HUARI, ANCASH) || SAN PEDRO DE CHANA (HUARI, ANCASH) || COCHAPETI (HUARMEY, ANCASH) || HUAYAN (HUARMEY, ANCASH) || MALVAS (HUARMEY, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || COTAPARACO (RECUAY, ANCASH) || HUAYLLAPAMPA (RECUAY, ANCASH) || MARCA (RECUAY, ANCASH) || PAMPAS CHICO (RECUAY, ANCASH) || TAPACOCHA (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH) || SHUPLUY (YUNGAY, ANCASH) || PACHAS (DOS DE MAYO, HUANUCO) || LLATA (HUAMALIES, HUANUCO) || PUÑOS (HUAMALIES, HUANUCO)"
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",3,trigo,218,225,55,"HUARAZ (HUARAZ, ANCASH) || COCHABAMBA (HUARAZ, ANCASH) || COLCABAMBA (HUARAZ, ANCASH) || HUANCHAY (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || JANGAS (HUARAZ, ANCASH) || LA LIBERTAD (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || PAMPAS GRANDE (HUARAZ, ANCASH) || PARIACOTO (HUARAZ, ANCASH) || PIRA (HUARAZ, ANCASH) || TARICA (HUARAZ, ANCASH) || AIJA (AIJA, ANCASH) || CORIS (AIJA, ANCASH) || HUACLLAN (AIJA, ANCASH) || LA MERCED (AIJA, ANCASH) || SUCCHA (AIJA, ANCASH) || CHACAS (ASUNCION, ANCASH) || AQUIA (BOLOGNESI, ANCASH) || HUALLANCA (BOLOGNESI, ANCASH) || CARHUAZ (CARHUAZ, ANCASH) || ACOPAMPA (CARHUAZ, ANCASH) || ANTA (CARHUAZ, ANCASH) || MARCARA (CARHUAZ, ANCASH) || PARIAHUANCA (CARHUAZ, ANCASH) || SAN MIGUEL DE ACO (CARHUAZ, ANCASH) || SHILLA (CARHUAZ, ANCASH) || TINCO (CARHUAZ, ANCASH) || YUNGAR (CARHUAZ, ANCASH) || SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH) || HUARI (HUARI, ANCASH) || CAJAY (HUARI, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUACHIS (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || MASIN (HUARI, ANCASH) || PONTO (HUARI, ANCASH) || RAHUAPAMPA (HUARI, ANCASH) || SAN MARCOS (HUARI, ANCASH) || SAN PEDRO DE CHANA (HUARI, ANCASH) || COCHAPETI (HUARMEY, ANCASH) || HUAYAN (HUARMEY, ANCASH) || MALVAS (HUARMEY, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || COTAPARACO (RECUAY, ANCASH) || HUAYLLAPAMPA (RECUAY, ANCASH) || MARCA (RECUAY, ANCASH) || PAMPAS CHICO (RECUAY, ANCASH) || TAPACOCHA (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH) || SHUPLUY (YUNGAY, ANCASH) || PACHAS (DOS DE MAYO, HUANUCO) || LLATA (HUAMALIES, HUANUCO) || PUÑOS (HUAMALIES, HUANUCO)"
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",4,alfalfa,200,321,55,"HUARAZ (HUARAZ, ANCASH) || COCHABAMBA (HUARAZ, ANCASH) || COLCABAMBA (HUARAZ, ANCASH) || HUANCHAY (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || JANGAS (HUARAZ, ANCASH) || LA LIBERTAD (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || PAMPAS GRANDE (HUARAZ, ANCASH) || PARIACOTO (HUARAZ, ANCASH) || PIRA (HUARAZ, ANCASH) || TARICA (HUARAZ, ANCASH) || AIJA (AIJA, ANCASH) || CORIS (AIJA, ANCASH) || HUACLLAN (AIJA, ANCASH) || LA MERCED (AIJA, ANCASH) || SUCCHA (AIJA, ANCASH) || CHACAS (ASUNCION, ANCASH) || AQUIA (BOLOGNESI, ANCASH) || HUALLANCA (BOLOGNESI, ANCASH) || CARHUAZ (CARHUAZ, ANCASH) || ACOPAMPA (CARHUAZ, ANCASH) || ANTA (CARHUAZ, ANCASH) || MARCARA (CARHUAZ, ANCASH) || PARIAHUANCA (CARHUAZ, ANCASH) || SAN MIGUEL DE ACO (CARHUAZ, ANCASH) || SHILLA (CARHUAZ, ANCASH) || TINCO (CARHUAZ, ANCASH) || YUNGAR (CARHUAZ, ANCASH) || SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH) || HUARI (HUARI, ANCASH) || CAJAY (HUARI, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUACHIS (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || MASIN (HUARI, ANCASH) || PONTO (HUARI, ANCASH) || RAHUAPAMPA (HUARI, ANCASH) || SAN MARCOS (HUARI, ANCASH) || SAN PEDRO DE CHANA (HUARI, ANCASH) || COCHAPETI (HUARMEY, ANCASH) || HUAYAN (HUARMEY, ANCASH) || MALVAS (HUARMEY, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || COTAPARACO (RECUAY, ANCASH) || HUAYLLAPAMPA (RECUAY, ANCASH) || MARCA (RECUAY, ANCASH) || PAMPAS CHICO (RECUAY, ANCASH) || TAPACOCHA (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH) || SHUPLUY (YUNGAY, ANCASH) || PACHAS (DOS DE MAYO, HUANUCO) || LLATA (HUAMALIES, HUANUCO) || PUÑOS (HUAMALIES, HUANUCO)"
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",5,cebada grano,129,124,55,"HUARAZ (HUARAZ, ANCASH) || COCHABAMBA (HUARAZ, ANCASH) || COLCABAMBA (HUARAZ, ANCASH) || HUANCHAY (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || JANGAS (HUARAZ, ANCASH) || LA LIBERTAD (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || PAMPAS GRANDE (HUARAZ, ANCASH) || PARIACOTO (HUARAZ, ANCASH) || PIRA (HUARAZ, ANCASH) || TARICA (HUARAZ, ANCASH) || AIJA (AIJA, ANCASH) || CORIS (AIJA, ANCASH) || HUACLLAN (AIJA, ANCASH) || LA MERCED (AIJA, ANCASH) || SUCCHA (AIJA, ANCASH) || CHACAS (ASUNCION, ANCASH) || AQUIA (BOLOGNESI, ANCASH) || HUALLANCA (BOLOGNESI, ANCASH) || CARHUAZ (CARHUAZ, ANCASH) || ACOPAMPA (CARHUAZ, ANCASH) || ANTA (CARHUAZ, ANCASH) || MARCARA (CARHUAZ, ANCASH) || PARIAHUANCA (CARHUAZ, ANCASH) || SAN MIGUEL DE ACO (CARHUAZ, ANCASH) || SHILLA (CARHUAZ, ANCASH) || TINCO (CARHUAZ, ANCASH) || YUNGAR (CARHUAZ, ANCASH) || SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH) || HUARI (HUARI, ANCASH) || CAJAY (HUARI, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUACHIS (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || MASIN (HUARI, ANCASH) || PONTO (HUARI, ANCASH) || RAHUAPAMPA (HUARI, ANCASH) || SAN MARCOS (HUARI, ANCASH) || SAN PEDRO DE CHANA (HUARI, ANCASH) || COCHAPETI (HUARMEY, ANCASH) || HUAYAN (HUARMEY, ANCASH) || MALVAS (HUARMEY, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || COTAPARACO (RECUAY, ANCASH) || HUAYLLAPAMPA (RECUAY, ANCASH) || MARCA (RECUAY, ANCASH) || PAMPAS CHICO (RECUAY, ANCASH) || TAPACOCHA (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH) || SHUPLUY (YUNGAY, ANCASH) || PACHAS (DOS DE MAYO, HUANUCO) || LLATA (HUAMALIES, HUANUCO) || PUÑOS (HUAMALIES, HUANUCO)"
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",1,alfalfa,326,227,20,"LA JOYA (AREQUIPA, AREQUIPA) || SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA ISABEL DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA) || MARISCAL CACERES (CAMANA, AREQUIPA) || NICOLAS DE PIEROLA (CAMANA, AREQUIPA) || QUILCA (CAMANA, AREQUIPA) || SAMUEL PASTOR (CAMANA, AREQUIPA) || APLAO (CASTILLA, AREQUIPA) || HUANCARQUI (CASTILLA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || HUAMBO (CAYLLOMA, AREQUIPA) || HUANCA (CAYLLOMA, AREQUIPA) || LLUTA (CAYLLOMA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA) || CHUQUIBAMBA (CONDESUYOS, AREQUIPA) || IRAY (CONDESUYOS, AREQUIPA) || ISLAY (ISLAY, AREQUIPA)"
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",2,maiz chala,235,213,20,"LA JOYA (AREQUIPA, AREQUIPA) || SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA ISABEL DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA) || MARISCAL CACERES (CAMANA, AREQUIPA) || NICOLAS DE PIEROLA (CAMANA, AREQUIPA) || QUILCA (CAMANA, AREQUIPA) || SAMUEL PASTOR (CAMANA, AREQUIPA) || APLAO (CASTILLA, AREQUIPA) || HUANCARQUI (CASTILLA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || HUAMBO (CAYLLOMA, AREQUIPA) || HUANCA (CAYLLOMA, AREQUIPA) || LLUTA (CAYLLOMA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA) || CHUQUIBAMBA (CONDESUYOS, AREQUIPA) || IRAY (CONDESUYOS, AREQUIPA) || ISLAY (ISLAY, AREQUIPA)"
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",3,papa blanca,49,53,20,"LA JOYA (AREQUIPA, AREQUIPA) || SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA ISABEL DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA) || MARISCAL CACERES (CAMANA, AREQUIPA) || NICOLAS DE PIEROLA (CAMANA, AREQUIPA) || QUILCA (CAMANA, AREQUIPA) || SAMUEL PASTOR (CAMANA, AREQUIPA) || APLAO (CASTILLA, AREQUIPA) || HUANCARQUI (CASTILLA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || HUAMBO (CAYLLOMA, AREQUIPA) || HUANCA (CAYLLOMA, AREQUIPA) || LLUTA (CAYLLOMA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA) || CHUQUIBAMBA (CONDESUYOS, AREQUIPA) || IRAY (CONDESUYOS, AREQUIPA) || ISLAY (ISLAY, AREQUIPA)"
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",4,cebolla,43,44,20,"LA JOYA (AREQUIPA, AREQUIPA) || SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA ISABEL DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA) || MARISCAL CACERES (CAMANA, AREQUIPA) || NICOLAS DE PIEROLA (CAMANA, AREQUIPA) || QUILCA (CAMANA, AREQUIPA) || SAMUEL PASTOR (CAMANA, AREQUIPA) || APLAO (CASTILLA, AREQUIPA) || HUANCARQUI (CASTILLA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || HUAMBO (CAYLLOMA, AREQUIPA) || HUANCA (CAYLLOMA, AREQUIPA) || LLUTA (CAYLLOMA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA) || CHUQUIBAMBA (CONDESUYOS, AREQUIPA) || IRAY (CONDESUYOS, AREQUIPA) || ISLAY (ISLAY, AREQUIPA)"
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",5,palto,42,37,20,"LA JOYA (AREQUIPA, AREQUIPA) || SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA ISABEL DE SIGUAS (AREQUIPA, AREQUIPA) || SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA) || MARISCAL CACERES (CAMANA, AREQUIPA) || NICOLAS DE PIEROLA (CAMANA, AREQUIPA) || QUILCA (CAMANA, AREQUIPA) || SAMUEL PASTOR (CAMANA, AREQUIPA) || APLAO (CASTILLA, AREQUIPA) || HUANCARQUI (CASTILLA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || HUAMBO (CAYLLOMA, AREQUIPA) || HUANCA (CAYLLOMA, AREQUIPA) || LLUTA (CAYLLOMA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA) || CHUQUIBAMBA (CONDESUYOS, AREQUIPA) || IRAY (CONDESUYOS, AREQUIPA) || ISLAY (ISLAY, AREQUIPA)"
