intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",1,papa blanca,156,93,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",2,trigo,100,47,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",3,maiz amilaceo,95,54,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",4,cebada grano,63,44,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",5,alfalfa,42,35,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",1,maiz chala,125,125,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",2,alfalfa,57,37,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",3,palto,22,26,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",4,higuera,19,15,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",5,cebolla,17,14,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",1,maiz chala,37,42,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",2,palto,37,43,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
