intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ubigeo_vecino,distrito_vecino_completo,ranking,nombre_cultivo,freq_año_previo,freq_año_post
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",1,maiz amilaceo,21,3
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",2,trigo,13,4
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",3,papa blanca,12,3
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",4,maiz choclo,7,2
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",5,alfalfa,5,3
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",1,papa blanca,39,15
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",2,trigo,31,8
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",3,maiz amilaceo,26,15
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",4,alfalfa,13,8
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",5,cebada grano,13,NA
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",1,papa blanca,13,13
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",2,trigo,11,12
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",3,haba grano seco,9,10
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",4,alfalfa,3,7
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",5,arveja grano verde,2,5
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",1,papa blanca,53,38
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",2,cebada grano,25,30
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",3,maiz amilaceo,13,7
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",4,trigo,9,9
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",5,oca,7,12
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",1,maiz amilaceo,29,16
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",2,trigo,24,11
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",3,papa blanca,15,12
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",4,cebada grano,11,6
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",5,alfalfa,10,7
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021701,"RECUAY (RECUAY, ANCASH)",1,papa blanca,15,2
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",021701,"RECUAY (RECUAY, ANCASH)",2,trigo,12,3
