intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",1,maiz amarillo duro,9,7,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",2,arroz cascara,8,12,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",3,yuca,8,3,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",4,lima,5,6,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",5,brocoli,4,0,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",1,arroz cascara,47,38,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",2,maiz amarillo duro,45,40,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",3,frijol caupi grano seco,12,18,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",4,maiz choclo,7,0,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",5,ciruela agria,6,3,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
