intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",1,papa blanca,156,93,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",2,trigo,100,47,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",3,maiz amilaceo,95,54,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",4,cebada grano,63,44,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,020108,"OLLEROS (HUARAZ, ANCASH)",5,haba grano seco,29,38,8,"HUARAZ (HUARAZ, ANCASH) || INDEPENDENCIA (HUARAZ, ANCASH) || OLLEROS (HUARAZ, ANCASH) || CHAVIN DE HUANTAR (HUARI, ANCASH) || HUANTAR (HUARI, ANCASH) || RECUAY (RECUAY, ANCASH) || CATAC (RECUAY, ANCASH) || TICAPAMPA (RECUAY, ANCASH)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",1,cebolla,17,14,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",2,papa blanca,13,26,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",3,tuna fruta,13,13,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",4,tomate,7,4,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",5,paprika,5,5,3,"SAN JUAN DE SIGUAS (AREQUIPA, AREQUIPA) || URACA (CASTILLA, AREQUIPA) || MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",1,cebolla,43,41,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",2,papa blanca,30,50,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
