UBIGEO,N_MERCADOS_2017,N_MERCADOS_2018,N_MERCADOS_2022,N_MERCADOS_2016,N_PUESTOS_VERDURAS_2016,MERCADOS CENAMA,"TIPO DE MERCADO (MAY, MIN, MIX)"
10101,3,3,3,3,85,"MERCADO YANCE,MERCADO MODELO,MERCADO MERCA CHACHA","MERCADO YANCE->2,MERCADO MODELO->2,MERCADO MERCA CHACHA->1"
10205,2,2,2,2,4,"MERCADO DE ABASTOS DE IMAZITA,MERCADO DE ABASTOS 25 DE MAYO DE CHIRIACO","MERCADO DE ABASTOS DE IMAZITA->2,MERCADO DE ABASTOS 25 DE MAYO DE CHIRIACO->2"
10201,1,1,1,1,5,MERCADO DE ABASTOS,MERCADO DE ABASTOS->3
10202,1,1,2,1,5,MERCADO DE ABASTOS DE ARAMANGO,MERCADO DE ABASTOS DE ARAMANGO->3
10110,1,1,1,1,10,MERCADO DE ABASTOS DE LEIMEBAMBA,MERCADO DE ABASTOS DE LEIMEBAMBA->2
10119,0,1,1,0,0,,
10104,0,0,0,0,0,,
10103,0,1,1,0,0,,
10112,0,0,0,0,0,,
10120,0,0,0,0,0,,
10108,0,0,0,0,0,,
10113,0,0,0,0,0,,
10117,0,0,0,0,0,,
10121,0,0,1,0,0,,
10114,0,0,0,0,0,,
10118,0,0,0,0,0,,
10109,0,0,0,0,0,,
10107,0,0,0,0,0,,
10102,0,0,0,0,0,,
10116,0,0,0,0,0,,
10203,0,0,1,0,0,,
10111,0,0,0,0,0,,
10115,0,0,0,0,0,,
10106,0,0,0,0,0,,
10204,0,0,0,0,0,,
10105,0,0,0,0,0,,
